index,D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli,D_0__Bacteria;D_1__Firmicutes;__,D_0__Bacteria;__;__,Library_Name,IsolationSource,Relationship_to_oxygen,Type
SRR5211360,1.0,40086.0,46265.0,114103.0,OS01,Root,aerobe,Endophytic metagenome
SRR5211361,1.0,89171.0,91506.0,58287.0,OS04,Root,aerobe,Endophytic metagenome
