index,D_0__Bacteria,Library_Name,IsolationSource,Relationship_to_oxygen,Type
SRR5211360,200455.0,OS01,Root,aerobe,Endophytic metagenome
SRR5211361,238965.0,OS04,Root,aerobe,Endophytic metagenome
