index,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;__,Library_Name,IsolationSource,Relationship_to_oxygen,Type
SRR5211360,1.0,86351.0,114103.0,OS01,Root,aerobe,Endophytic metagenome
SRR5211361,1.0,180677.0,58287.0,OS04,Root,aerobe,Endophytic metagenome
