index,D_0__Archaea,D_0__Bacteria,Name,host,host infra specific rank,watering regimen,root_compartment,soil_source,biological_replicate,host infra specific name
SRR5681679,0.0,10901.0,ITS1.drght.22,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Biggs,1.0,indica
SRR5681680,0.0,10104.0,ITS1.drght.21,Oryza glaberrima,TOg7102,Drought,Endosphere,Biggs,1.0,indica
SRR5681681,0.0,5228.0,ITS1.drght.28,Oryza sativa,M206,Watered,Rhizosphere,Davis,1.0,japonica
SRR5681682,0.0,10157.0,ITS1.drght.27,Oryza sativa,IR20,Watered,Rhizosphere,Davis,1.0,indica
SRR5681683,0.0,8087.0,ITS1.drght.26,Oryza glaberrima,Gl_CG14,Watered,Rhizosphere,Davis,1.0,indica
SRR5681684,0.0,4928.0,ITS1.drght.25,Oryza glaberrima,TOg7102,Watered,Rhizosphere,Davis,1.0,indica
SRR5681685,0.0,10966.0,ITS1.drght.80,Oryza sativa,M206,Drought,Rhizosphere,Arbuckle,2.0,japonica
SRR5681686,0.0,14125.0,ITS1.drght.30,Oryza glaberrima,Gl_CG14,Watered,Rhizosphere,Arbuckle,1.0,indica
SRR5681687,0.0,33107.0,ITS1.drght.29,Oryza glaberrima,TOg7102,Watered,Rhizosphere,Arbuckle,1.0,indica
SRR5681688,0.0,11121.0,ITS1.drght.110,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Davis,3.0,indica
SRR5681689,0.0,4628.0,ITS1.drght.211,Soil,not applicable,Drought,BulkSoil,Biggs,4.0,NA
SRR5681690,0.0,37957.0,ITS1.drght.131,Oryza sativa,IR20,Watered,Rhizosphere,Biggs,3.0,indica
SRR5681691,0.0,17831.0,ITS1.drght.132,Oryza sativa,M206,Watered,Rhizosphere,Biggs,3.0,japonica
SRR5681692,0.0,2484.0,ITS1.drght.133,Oryza glaberrima,TOg7102,Watered,Endosphere,Davis,3.0,indica
SRR5681693,0.0,10940.0,ITS1.drght.134,Oryza glaberrima,Gl_CG14,Watered,Endosphere,Davis,3.0,indica
SRR5681694,0.0,11927.0,ITS1.drght.135,Oryza sativa,IR20,Watered,Endosphere,Davis,3.0,indica
SRR5681695,0.0,12411.0,ITS1.drght.136,Oryza sativa,M206,Watered,Endosphere,Davis,3.0,japonica
SRR5681696,0.0,3301.0,ITS1.drght.137,Oryza glaberrima,TOg7102,Watered,Endosphere,Arbuckle,3.0,indica
SRR5681697,0.0,16505.0,ITS1.drght.138,Oryza glaberrima,Gl_CG14,Watered,Endosphere,Arbuckle,3.0,indica
SRR5681698,0.0,2241.0,ITS1.drght.139,Oryza sativa,IR20,Watered,Endosphere,Arbuckle,3.0,indica
SRR5681699,0.0,9511.0,ITS1.drght.140,Oryza sativa,M206,Watered,Endosphere,Arbuckle,3.0,japonica
SRR5681700,0.0,6282.0,ITS1.drght.39,Oryza sativa,IR20,Watered,Endosphere,Davis,1.0,indica
SRR5681701,0.0,17233.0,ITS1.drght.40,Oryza sativa,M206,Watered,Endosphere,Davis,1.0,japonica
SRR5681702,0.0,25459.0,ITS1.drght.35,Oryza sativa,IR20,Watered,Rhizosphere,Biggs,1.0,indica
SRR5681703,0.0,14873.0,ITS1.drght.36,Oryza sativa,M206,Watered,Rhizosphere,Biggs,1.0,japonica
SRR5681704,0.0,910.0,ITS1.drght.37,Oryza glaberrima,TOg7102,Watered,Endosphere,Davis,1.0,indica
SRR5681705,0.0,3892.0,ITS1.drght.38,Oryza glaberrima,Gl_CG14,Watered,Endosphere,Davis,1.0,indica
SRR5681706,0.0,18718.0,ITS1.drght.31,Oryza sativa,IR20,Watered,Rhizosphere,Arbuckle,1.0,indica
SRR5681707,0.0,18976.0,ITS1.drght.32,Oryza sativa,M206,Watered,Rhizosphere,Arbuckle,1.0,japonica
SRR5681708,0.0,34330.0,ITS1.drght.33,Oryza glaberrima,TOg7102,Watered,Rhizosphere,Biggs,1.0,indica
SRR5681709,0.0,18099.0,ITS1.drght.34,Oryza glaberrima,Gl_CG14,Watered,Rhizosphere,Biggs,1.0,indica
SRR5681710,0.0,36368.0,ITS1.drght.209,Soil,not applicable,Watered,BulkSoil,Arbuckle,3.0,NA
SRR5681711,0.0,13044.0,ITS1.drght.130,Oryza glaberrima,Gl_CG14,Watered,Rhizosphere,Biggs,3.0,indica
SRR5681712,0.0,60955.0,ITS1.drght.129,Oryza glaberrima,TOg7102,Watered,Rhizosphere,Biggs,3.0,indica
SRR5681713,0.0,36862.0,ITS1.drght.128,Oryza sativa,M206,Watered,Rhizosphere,Arbuckle,3.0,japonica
SRR5681714,0.0,8449.0,ITS1.drght.127,Oryza sativa,IR20,Watered,Rhizosphere,Arbuckle,3.0,indica
SRR5681715,0.0,46032.0,ITS1.drght.126,Oryza glaberrima,Gl_CG14,Watered,Rhizosphere,Arbuckle,3.0,indica
SRR5681716,0.0,39161.0,ITS1.drght.125,Oryza glaberrima,TOg7102,Watered,Rhizosphere,Arbuckle,3.0,indica
SRR5681717,0.0,10986.0,ITS1.drght.124,Oryza sativa,M206,Watered,Rhizosphere,Davis,3.0,japonica
SRR5681718,0.0,14397.0,ITS1.drght.123,Oryza sativa,IR20,Watered,Rhizosphere,Davis,3.0,indica
SRR5681719,0.0,13202.0,ITS1.drght.122,Oryza glaberrima,Gl_CG14,Watered,Rhizosphere,Davis,3.0,indica
SRR5681720,0.0,11062.0,ITS1.drght.121,Oryza glaberrima,TOg7102,Watered,Rhizosphere,Davis,3.0,indica
SRR5681721,0.0,9181.0,ITS1.drght.82,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Biggs,2.0,indica
SRR5681722,0.0,12664.0,ITS1.drght.81,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Biggs,2.0,indica
SRR5681723,0.0,2807.0,ITS1.drght.84,Oryza sativa,M206,Drought,Rhizosphere,Biggs,2.0,japonica
SRR5681724,0.0,6321.0,ITS1.drght.83,Oryza sativa,IR20,Drought,Rhizosphere,Biggs,2.0,indica
SRR5681725,0.0,5255.0,ITS1.drght.86,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Davis,2.0,indica
SRR5681726,0.0,10404.0,ITS1.drght.85,Oryza glaberrima,TOg7102,Drought,Endosphere,Davis,2.0,indica
SRR5681727,0.0,20132.0,ITS1.drght.88,Oryza sativa,M206,Drought,Endosphere,Davis,2.0,japonica
SRR5681728,0.0,25325.0,ITS1.drght.87,Oryza sativa,IR20,Drought,Endosphere,Davis,2.0,indica
SRR5681729,0.0,4995.0,ITS1.drght.90,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Arbuckle,2.0,indica
SRR5681730,0.0,2206.0,ITS1.drght.89,Oryza glaberrima,TOg7102,Drought,Endosphere,Arbuckle,2.0,indica
SRR5681731,0.0,7355.0,ITS1.drght.7,Oryza sativa,IR20,Drought,Rhizosphere,Arbuckle,1.0,indica
SRR5681732,0.0,30535.0,ITS1.drght.210,Soil,not applicable,Watered,BulkSoil,Biggs,3.0,NA
SRR5681733,0.0,19844.0,ITS1.drght.212,Soil,not applicable,Watered,BulkSoil,Arbuckle,4.0,NA
