index,D_0__Archaea,D_0__Bacteria,Name,host,host infra specific rank,watering regimen,root_compartment,soil_source,biological_replicate,host infra specific name
SRR5532736,121.0,16306.0,drght.56,Oryza sativa,M206,Watered,Rhizosphere,Arbuckle,2.0,japonica
SRR5532737,140.0,14607.0,drght.55,Oryza sativa,IR20,Watered,Rhizosphere,Arbuckle,2.0,indica
SRR5532738,699.0,27724.0,drght.58,Oryza glaberrima,Gl_CG14,Watered,Rhizosphere,Biggs,2.0,indica
SRR5532739,668.0,22837.0,drght.57,Oryza glaberrima,TOg7102,Watered,Rhizosphere,Biggs,2.0,indica
SRR5532740,42.0,10851.0,drght.52,Oryza sativa,M206,Watered,Rhizosphere,Davis,2.0,japonica
SRR5532741,56.0,13184.0,drght.51,Oryza sativa,IR20,Watered,Rhizosphere,Davis,2.0,indica
SRR5532742,412.0,16666.0,drght.54,Oryza glaberrima,Gl_CG14,Watered,Rhizosphere,Arbuckle,2.0,indica
SRR5532743,166.0,16596.0,drght.53,Oryza glaberrima,TOg7102,Watered,Rhizosphere,Arbuckle,2.0,indica
SRR5532744,46.0,34358.0,drght.90,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Arbuckle,2.0,indica
SRR5532745,18.0,11895.0,drght.100,Oryza sativa,M206,Drought,Rhizosphere,Davis,3.0,japonica
SRR5532746,22.0,12086.0,drght.99,Oryza sativa,IR20,Drought,Rhizosphere,Davis,3.0,indica
SRR5532747,49.0,14698.0,drght.49,Oryza glaberrima,TOg7102,Watered,Rhizosphere,Davis,2.0,indica
SRR5532748,103.0,13824.0,drght.50,Oryza glaberrima,Gl_CG14,Watered,Rhizosphere,Davis,2.0,indica
SRR5532749,9.0,30176.0,drght.47,Oryza sativa,IR20,Watered,Endosphere,Biggs,1.0,indica
SRR5532750,16.0,38665.0,drght.48,Oryza sativa,M206,Watered,Endosphere,Biggs,1.0,japonica
SRR5532751,30.0,22806.0,drght.45,Oryza glaberrima,TOg7102,Watered,Endosphere,Biggs,1.0,indica
SRR5532752,9.0,30835.0,drght.46,Oryza glaberrima,Gl_CG14,Watered,Endosphere,Biggs,1.0,indica
SRR5532753,41.0,24903.0,drght.43,Oryza sativa,IR20,Watered,Endosphere,Arbuckle,1.0,indica
SRR5532754,13.0,24711.0,drght.44,Oryza sativa,M206,Watered,Endosphere,Arbuckle,1.0,japonica
SRR5532755,75.0,29957.0,drght.41,Oryza glaberrima,TOg7102,Watered,Endosphere,Arbuckle,1.0,indica
SRR5532756,27.0,30280.0,drght.42,Oryza glaberrima,Gl_CG14,Watered,Endosphere,Arbuckle,1.0,indica
SRR5532757,140.0,35896.0,drght.169,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Davis,4.0,indica
SRR5532758,109.0,33332.0,drght.170,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Davis,4.0,indica
SRR5532759,7.0,19369.0,drght.167,Oryza sativa,IR20,Watered,Endosphere,Biggs,4.0,indica
SRR5532760,10.0,24484.0,drght.168,Oryza sativa,M206,Watered,Endosphere,Biggs,4.0,japonica
SRR5532761,21.0,20805.0,drght.165,Oryza glaberrima,TOg7102,Watered,Endosphere,Biggs,4.0,indica
SRR5532762,17.0,17564.0,drght.166,Oryza glaberrima,Gl_CG14,Watered,Endosphere,Biggs,4.0,indica
SRR5532763,22.0,20682.0,drght.163,Oryza sativa,IR20,Watered,Endosphere,Arbuckle,4.0,indica
SRR5532764,19.0,22267.0,drght.164,Oryza sativa,M206,Watered,Endosphere,Arbuckle,4.0,japonica
SRR5532765,17.0,22241.0,drght.161,Oryza glaberrima,TOg7102,Watered,Endosphere,Arbuckle,4.0,indica
SRR5532766,18.0,17151.0,drght.162,Oryza glaberrima,Gl_CG14,Watered,Endosphere,Arbuckle,4.0,indica
SRR5532767,1.0,28347.0,drght.181,Oryza glaberrima,TOg7102,Drought,Endosphere,Davis,4.0,indica
SRR5532768,3.0,23933.0,drght.182,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Davis,4.0,indica
SRR5532769,0.0,27784.0,drght.183,Oryza sativa,IR20,Drought,Endosphere,Davis,4.0,indica
SRR5532770,3.0,21116.0,drght.184,Oryza sativa,M206,Drought,Endosphere,Davis,4.0,japonica
SRR5532771,76.0,53520.0,drght.185,Oryza glaberrima,TOg7102,Drought,Endosphere,Arbuckle,4.0,indica
SRR5532772,46.0,37021.0,drght.186,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Arbuckle,4.0,indica
SRR5532773,7.0,35286.0,drght.187,Oryza sativa,IR20,Drought,Endosphere,Arbuckle,4.0,indica
SRR5532774,12.0,40346.0,drght.188,Oryza sativa,M206,Drought,Endosphere,Arbuckle,4.0,japonica
SRR5532775,7.0,38199.0,drght.189,Oryza glaberrima,TOg7102,Drought,Endosphere,Biggs,4.0,indica
SRR5532776,67.0,29936.0,drght.190,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Biggs,4.0,indica
SRR5532777,7.0,17648.0,drght.40,Oryza sativa,M206,Watered,Endosphere,Davis,1.0,japonica
SRR5532778,5.0,18370.0,drght.39,Oryza sativa,IR20,Watered,Endosphere,Davis,1.0,indica
SRR5532779,103.0,10943.0,drght.34,Oryza glaberrima,Gl_CG14,Watered,Rhizosphere,Biggs,1.0,indica
SRR5532780,313.0,16298.0,drght.33,Oryza glaberrima,TOg7102,Watered,Rhizosphere,Biggs,1.0,indica
SRR5532781,126.0,18174.0,drght.32,Oryza sativa,M206,Watered,Rhizosphere,Arbuckle,1.0,japonica
SRR5532782,245.0,27787.0,drght.31,Oryza sativa,IR20,Watered,Rhizosphere,Arbuckle,1.0,indica
SRR5532783,2.0,14701.0,drght.38,Oryza glaberrima,Gl_CG14,Watered,Endosphere,Davis,1.0,indica
SRR5532784,14.0,17986.0,drght.37,Oryza glaberrima,TOg7102,Watered,Endosphere,Davis,1.0,indica
SRR5532785,69.0,7192.0,drght.36,Oryza sativa,M206,Watered,Rhizosphere,Biggs,1.0,japonica
SRR5532786,132.0,24549.0,drght.35,Oryza sativa,IR20,Watered,Rhizosphere,Biggs,1.0,indica
SRR5532787,4.0,32925.0,drght.96,Oryza sativa,M206,Drought,Endosphere,Biggs,2.0,japonica
SRR5532788,97.0,11475.0,drght.180,Oryza sativa,M206,Drought,Rhizosphere,Biggs,4.0,japonica
SRR5532789,12.0,2960.0,drght.179,Oryza sativa,IR20,Drought,Rhizosphere,Biggs,4.0,indica
SRR5532790,204.0,40035.0,drght.176,Oryza sativa,M206,Drought,Rhizosphere,Arbuckle,4.0,japonica
SRR5532791,198.0,39578.0,drght.175,Oryza sativa,IR20,Drought,Rhizosphere,Arbuckle,4.0,indica
SRR5532792,108.0,11584.0,drght.178,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Biggs,4.0,indica
SRR5532793,11.0,1534.0,drght.177,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Biggs,4.0,indica
SRR5532794,44.0,9220.0,drght.172,Oryza sativa,M206,Drought,Rhizosphere,Davis,4.0,japonica
SRR5532795,91.0,26239.0,drght.171,Oryza sativa,IR20,Drought,Rhizosphere,Davis,4.0,indica
SRR5532796,131.0,33718.0,drght.174,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Arbuckle,4.0,indica
SRR5532797,237.0,39941.0,drght.173,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Arbuckle,4.0,indica
SRR5532798,218.0,15099.0,drght.215,Soil,not applicable,Drought,BulkSoil,Arbuckle,4.0,indica
SRR5532799,179.0,17307.0,drght.216,Soil,not applicable,Watered,BulkSoil,Davis,4.0,indica
SRR5532800,185.0,16274.0,drght.211,Soil,not applicable,Drought,BulkSoil,Biggs,4.0,indica
SRR5532801,202.0,16360.0,drght.212,Soil,not applicable,Watered,BulkSoil,Arbuckle,4.0,indica
SRR5532802,157.0,15994.0,drght.200,Soil,not applicable,Watered,BulkSoil,Arbuckle,2.0,indica
SRR5532803,155.0,15874.0,drght.199,Soil,not applicable,Watered,BulkSoil,Davis,2.0,indica
SRR5532804,203.0,14193.0,drght.198,Soil,not applicable,Watered,BulkSoil,Biggs,1.0,indica
SRR5532805,228.0,18405.0,drght.197,Soil,not applicable,Watered,BulkSoil,Arbuckle,1.0,indica
SRR5532806,73.0,9768.0,drght.196,Soil,not applicable,Watered,BulkSoil,Davis,1.0,indica
SRR5532807,232.0,15369.0,drght.195,Soil,not applicable,Drought,BulkSoil,Biggs,1.0,indica
SRR5532808,147.0,16360.0,drght.194,Soil,not applicable,Drought,BulkSoil,Arbuckle,1.0,indica
SRR5532809,98.0,18178.0,drght.193,Soil,not applicable,Drought,BulkSoil,Davis,1.0,indica
SRR5532810,8.0,36319.0,drght.192,Oryza sativa,M206,Drought,Endosphere,Biggs,4.0,japonica
SRR5532811,8.0,42319.0,drght.191,Oryza sativa,IR20,Drought,Endosphere,Biggs,4.0,indica
SRR5532812,109.0,22573.0,drght.25,Oryza glaberrima,TOg7102,Watered,Rhizosphere,Davis,1.0,indica
SRR5532813,91.0,24521.0,drght.26,Oryza glaberrima,Gl_CG14,Watered,Rhizosphere,Davis,1.0,indica
SRR5532814,151.0,23901.0,drght.27,Oryza sativa,IR20,Watered,Rhizosphere,Davis,1.0,indica
SRR5532815,99.0,19953.0,drght.28,Oryza sativa,M206,Watered,Rhizosphere,Davis,1.0,japonica
SRR5532816,19.0,19041.0,drght.21,Oryza glaberrima,TOg7102,Drought,Endosphere,Biggs,1.0,indica
SRR5532817,6.0,18545.0,drght.22,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Biggs,1.0,indica
SRR5532818,16.0,18844.0,drght.23,Oryza sativa,IR20,Drought,Endosphere,Biggs,1.0,indica
SRR5532819,14.0,19656.0,drght.24,Oryza sativa,M206,Drought,Endosphere,Biggs,1.0,japonica
SRR5532820,545.0,27952.0,drght.29,Oryza glaberrima,TOg7102,Watered,Rhizosphere,Arbuckle,1.0,indica
SRR5532821,248.0,18003.0,drght.30,Oryza glaberrima,Gl_CG14,Watered,Rhizosphere,Arbuckle,1.0,indica
SRR5532822,6.0,36694.0,drght.109,Oryza glaberrima,TOg7102,Drought,Endosphere,Davis,3.0,indica
SRR5532823,5.0,35002.0,drght.110,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Davis,3.0,indica
SRR5532824,134.0,16762.0,drght.101,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Arbuckle,3.0,indica
SRR5532825,106.0,14306.0,drght.102,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Arbuckle,3.0,indica
SRR5532826,37.0,12102.0,drght.103,Oryza sativa,IR20,Drought,Rhizosphere,Arbuckle,3.0,indica
SRR5532827,29.0,11942.0,drght.104,Oryza sativa,M206,Drought,Rhizosphere,Arbuckle,3.0,japonica
SRR5532828,196.0,28971.0,drght.105,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Biggs,3.0,indica
SRR5532829,278.0,36232.0,drght.106,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Biggs,3.0,indica
SRR5532830,206.0,42188.0,drght.107,Oryza sativa,IR20,Drought,Rhizosphere,Biggs,3.0,indica
SRR5532831,219.0,25851.0,drght.108,Oryza sativa,M206,Drought,Rhizosphere,Biggs,3.0,japonica
SRR5681518,0.0,4814.0,ITS1.drght.203,Soil,not applicable,Drought,BulkSoil,Arbuckle,2.0,NA
SRR5681519,0.0,7405.0,ITS1.drght.204,Soil,not applicable,Drought,BulkSoil,Biggs,2.0,NA
SRR5681520,0.0,12555.0,ITS1.drght.119,Oryza sativa,IR20,Drought,Endosphere,Biggs,3.0,indica
SRR5681521,0.0,7676.0,ITS1.drght.120,Oryza sativa,M206,Drought,Endosphere,Biggs,3.0,japonica
SRR5681522,0.0,10934.0,ITS1.drght.207,Soil,not applicable,Drought,BulkSoil,Biggs,3.0,NA
SRR5681523,0.0,22309.0,ITS1.drght.208,Soil,not applicable,Watered,BulkSoil,Davis,3.0,NA
SRR5681524,0.0,13993.0,ITS1.drght.205,Soil,not applicable,Drought,BulkSoil,Davis,3.0,NA
SRR5681525,0.0,52570.0,ITS1.drght.206,Soil,not applicable,Drought,BulkSoil,Arbuckle,3.0,NA
SRR5681526,0.0,7042.0,ITS1.drght.113,Oryza glaberrima,TOg7102,Drought,Endosphere,Arbuckle,3.0,indica
SRR5681527,0.0,12324.0,ITS1.drght.114,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Arbuckle,3.0,indica
SRR5681528,0.0,11424.0,ITS1.drght.1,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Davis,1.0,indica
SRR5681529,0.0,10966.0,ITS1.drght.2,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Davis,1.0,indica
SRR5681530,0.0,2857.0,ITS1.drght.117,Oryza glaberrima,TOg7102,Drought,Endosphere,Biggs,3.0,indica
SRR5681531,0.0,11327.0,ITS1.drght.118,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Biggs,3.0,indica
SRR5681532,0.0,6709.0,ITS1.drght.115,Oryza sativa,IR20,Drought,Endosphere,Arbuckle,3.0,indica
SRR5681533,0.0,19627.0,ITS1.drght.116,Oryza sativa,M206,Drought,Endosphere,Arbuckle,3.0,japonica
SRR5681534,0.0,371.0,ITS1.drght.201,Soil,not applicable,Watered,BulkSoil,Biggs,2.0,NA
SRR5681535,0.0,6164.0,ITS1.drght.94,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Biggs,2.0,indica
SRR5681536,0.0,1965.0,ITS1.drght.91,Oryza sativa,IR20,Drought,Endosphere,Arbuckle,2.0,indica
SRR5681537,0.0,7346.0,ITS1.drght.92,Oryza sativa,M206,Drought,Endosphere,Arbuckle,2.0,japonica
SRR5681538,0.0,11701.0,ITS1.drght.97,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Davis,3.0,indica
SRR5681539,0.0,20798.0,ITS1.drght.98,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Davis,3.0,indica
SRR5681540,0.0,9312.0,ITS1.drght.202,Soil,not applicable,Drought,BulkSoil,Davis,2.0,NA
SRR5681541,0.0,17146.0,ITS1.drght.96,Oryza sativa,M206,Drought,Endosphere,Biggs,2.0,japonica
SRR5681542,0.0,10303.0,ITS1.drght.99,Oryza sativa,IR20,Drought,Rhizosphere,Davis,3.0,indica
SRR5681543,0.0,11582.0,ITS1.drght.100,Oryza sativa,M206,Drought,Rhizosphere,Davis,3.0,japonica
SRR5681544,0.0,5571.0,ITS1.drght.19,Oryza sativa,IR20,Drought,Endosphere,Arbuckle,1.0,indica
SRR5681545,0.0,4539.0,ITS1.drght.20,Oryza sativa,M206,Drought,Endosphere,Arbuckle,1.0,japonica
SRR5681546,0.0,7848.0,ITS1.drght.79,Oryza sativa,IR20,Drought,Rhizosphere,Arbuckle,2.0,indica
SRR5681547,0.0,5149.0,ITS1.drght.13,Oryza glaberrima,TOg7102,Drought,Endosphere,Davis,1.0,indica
SRR5681548,0.0,6291.0,ITS1.drght.14,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Davis,1.0,indica
SRR5681549,0.0,5213.0,ITS1.drght.11,Oryza sativa,IR20,Drought,Rhizosphere,Biggs,1.0,indica
SRR5681550,0.0,17876.0,ITS1.drght.12,Oryza sativa,M206,Drought,Rhizosphere,Biggs,1.0,japonica
SRR5681551,0.0,3000.0,ITS1.drght.17,Oryza glaberrima,TOg7102,Drought,Endosphere,Arbuckle,1.0,indica
SRR5681552,0.0,22435.0,ITS1.drght.18,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Arbuckle,1.0,indica
SRR5681553,0.0,25010.0,ITS1.drght.15,Oryza sativa,IR20,Drought,Endosphere,Davis,1.0,indica
SRR5681554,0.0,5492.0,ITS1.drght.16,Oryza sativa,M206,Drought,Endosphere,Davis,1.0,japonica
SRR5681555,0.0,8508.0,ITS1.drght.3,Oryza sativa,IR20,Drought,Rhizosphere,Davis,1.0,indica
SRR5681556,0.0,9380.0,ITS1.drght.4,Oryza sativa,M206,Drought,Rhizosphere,Davis,1.0,japonica
SRR5681557,0.0,27991.0,ITS1.drght.111,Oryza sativa,IR20,Drought,Endosphere,Davis,3.0,indica
SRR5681558,0.0,9067.0,ITS1.drght.109,Oryza glaberrima,TOg7102,Drought,Endosphere,Davis,3.0,indica
SRR5681559,0.0,14631.0,ITS1.drght.214,Soil,not applicable,Drought,BulkSoil,Davis,4.0,NA
SRR5681560,0.0,19954.0,ITS1.drght.213,Soil,not applicable,Watered,BulkSoil,Biggs,4.0,NA
SRR5681561,0.0,7042.0,ITS1.drght.216,Soil,not applicable,Watered,BulkSoil,Davis,4.0,NA
SRR5681562,0.0,13701.0,ITS1.drght.215,Soil,not applicable,Drought,BulkSoil,Arbuckle,4.0,NA
SRR5681563,0.0,9918.0,ITS1.drght.112,Oryza sativa,M206,Drought,Endosphere,Davis,3.0,japonica
SRR5681564,0.0,50972.0,ITS1.drght.102,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Arbuckle,3.0,indica
SRR5681565,0.0,16359.0,ITS1.drght.101,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Arbuckle,3.0,indica
SRR5681566,0.0,20982.0,ITS1.drght.104,Oryza sativa,M206,Drought,Rhizosphere,Arbuckle,3.0,japonica
SRR5681567,0.0,15559.0,ITS1.drght.103,Oryza sativa,IR20,Drought,Rhizosphere,Arbuckle,3.0,indica
SRR5681568,0.0,33354.0,ITS1.drght.106,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Biggs,3.0,indica
SRR5681569,0.0,13120.0,ITS1.drght.105,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Biggs,3.0,indica
SRR5681570,0.0,1980.0,ITS1.drght.108,Oryza sativa,M206,Drought,Rhizosphere,Biggs,3.0,japonica
SRR5681571,0.0,7759.0,ITS1.drght.107,Oryza sativa,IR20,Drought,Rhizosphere,Biggs,3.0,indica
SRR5681572,0.0,7055.0,ITS1.drght.8,Oryza sativa,M206,Drought,Rhizosphere,Arbuckle,1.0,japonica
SRR5681573,0.0,2500.0,ITS1.drght.71,Oryza sativa,IR20,Watered,Endosphere,Biggs,2.0,indica
SRR5681574,0.0,6114.0,ITS1.drght.5,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Arbuckle,1.0,indica
SRR5681575,0.0,5872.0,ITS1.drght.72,Oryza sativa,M206,Watered,Endosphere,Biggs,2.0,japonica
SRR5681576,0.0,7638.0,ITS1.drght.6,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Arbuckle,1.0,indica
SRR5681577,0.0,7740.0,ITS1.drght.93,Oryza glaberrima,TOg7102,Drought,Endosphere,Biggs,2.0,indica
SRR5681578,0.0,4025.0,ITS1.drght.193,Soil,not applicable,Drought,BulkSoil,Davis,1.0,NA
SRR5681579,0.0,14390.0,ITS1.drght.194,Soil,not applicable,Drought,BulkSoil,Arbuckle,1.0,NA
SRR5681580,0.0,34729.0,ITS1.drght.191,Oryza sativa,IR20,Drought,Endosphere,Biggs,4.0,indica
SRR5681581,0.0,29893.0,ITS1.drght.192,Oryza sativa,M206,Drought,Endosphere,Biggs,4.0,japonica
SRR5681582,0.0,16968.0,ITS1.drght.197,Soil,not applicable,Watered,BulkSoil,Arbuckle,1.0,NA
SRR5681583,0.0,11379.0,ITS1.drght.198,Soil,not applicable,Watered,BulkSoil,Biggs,1.0,NA
SRR5681584,0.0,6977.0,ITS1.drght.195,Soil,not applicable,Drought,BulkSoil,Biggs,1.0,NA
SRR5681585,0.0,4326.0,ITS1.drght.196,Soil,not applicable,Watered,BulkSoil,Davis,1.0,NA
SRR5681586,0.0,1234.0,ITS1.drght.68,Oryza sativa,M206,Watered,Endosphere,Arbuckle,2.0,japonica
SRR5681587,0.0,977.0,ITS1.drght.67,Oryza sativa,IR20,Watered,Endosphere,Arbuckle,2.0,indica
SRR5681588,0.0,6393.0,ITS1.drght.199,Soil,not applicable,Watered,BulkSoil,Davis,2.0,NA
SRR5681589,0.0,10411.0,ITS1.drght.200,Soil,not applicable,Watered,BulkSoil,Arbuckle,2.0,NA
SRR5681590,0.0,3600.0,ITS1.drght.64,Oryza sativa,M206,Watered,Endosphere,Davis,2.0,japonica
SRR5681591,0.0,9232.0,ITS1.drght.63,Oryza sativa,IR20,Watered,Endosphere,Davis,2.0,indica
SRR5681592,0.0,395.0,ITS1.drght.62,Oryza glaberrima,Gl_CG14,Watered,Endosphere,Davis,2.0,indica
SRR5681593,0.0,5013.0,ITS1.drght.61,Oryza glaberrima,TOg7102,Watered,Endosphere,Davis,2.0,indica
SRR5681594,0.0,5243.0,ITS1.drght.95,Oryza sativa,IR20,Drought,Endosphere,Biggs,2.0,indica
SRR5681595,0.0,18371.0,ITS1.drght.179,Oryza sativa,IR20,Drought,Rhizosphere,Biggs,4.0,indica
SRR5681596,0.0,24401.0,ITS1.drght.180,Oryza sativa,M206,Drought,Rhizosphere,Biggs,4.0,japonica
SRR5681597,0.0,15430.0,ITS1.drght.175,Oryza sativa,IR20,Drought,Rhizosphere,Arbuckle,4.0,indica
SRR5681598,0.0,23949.0,ITS1.drght.176,Oryza sativa,M206,Drought,Rhizosphere,Arbuckle,4.0,japonica
SRR5681599,0.0,5808.0,ITS1.drght.177,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Biggs,4.0,indica
SRR5681600,0.0,14036.0,ITS1.drght.178,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Biggs,4.0,indica
SRR5681601,0.0,13798.0,ITS1.drght.171,Oryza sativa,IR20,Drought,Rhizosphere,Davis,4.0,indica
SRR5681602,0.0,12586.0,ITS1.drght.172,Oryza sativa,M206,Drought,Rhizosphere,Davis,4.0,japonica
SRR5681603,0.0,21712.0,ITS1.drght.173,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Arbuckle,4.0,indica
SRR5681604,0.0,36081.0,ITS1.drght.174,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Arbuckle,4.0,indica
SRR5681605,0.0,34389.0,ITS1.drght.182,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Davis,4.0,indica
SRR5681606,0.0,14541.0,ITS1.drght.181,Oryza glaberrima,TOg7102,Drought,Endosphere,Davis,4.0,indica
SRR5681607,0.0,22453.0,ITS1.drght.184,Oryza sativa,M206,Drought,Endosphere,Davis,4.0,japonica
SRR5681608,0.0,21198.0,ITS1.drght.183,Oryza sativa,IR20,Drought,Endosphere,Davis,4.0,indica
SRR5681609,0.0,4658.0,ITS1.drght.186,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Arbuckle,4.0,indica
SRR5681610,0.0,6805.0,ITS1.drght.185,Oryza glaberrima,TOg7102,Drought,Endosphere,Arbuckle,4.0,indica
SRR5681611,0.0,4541.0,ITS1.drght.188,Oryza sativa,M206,Drought,Endosphere,Arbuckle,4.0,japonica
SRR5681612,0.0,2612.0,ITS1.drght.187,Oryza sativa,IR20,Drought,Endosphere,Arbuckle,4.0,indica
SRR5681613,0.0,38424.0,ITS1.drght.190,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Biggs,4.0,indica
SRR5681614,0.0,14494.0,ITS1.drght.189,Oryza glaberrima,TOg7102,Drought,Endosphere,Biggs,4.0,indica
SRR5681615,0.0,6293.0,ITS1.drght.73,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Davis,2.0,indica
SRR5681616,0.0,6952.0,ITS1.drght.74,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Davis,2.0,indica
SRR5681617,0.0,3832.0,ITS1.drght.75,Oryza sativa,IR20,Drought,Rhizosphere,Davis,2.0,indica
SRR5681618,0.0,7484.0,ITS1.drght.76,Oryza sativa,M206,Drought,Rhizosphere,Davis,2.0,japonica
SRR5681619,0.0,5269.0,ITS1.drght.77,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Arbuckle,2.0,indica
SRR5681620,0.0,6143.0,ITS1.drght.78,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Arbuckle,2.0,indica
SRR5681621,0.0,2897.0,ITS1.drght.70,Oryza glaberrima,Gl_CG14,Watered,Endosphere,Biggs,2.0,indica
SRR5681622,0.0,18089.0,ITS1.drght.69,Oryza glaberrima,TOg7102,Watered,Endosphere,Biggs,2.0,indica
SRR5681623,0.0,12731.0,ITS1.drght.170,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Davis,4.0,indica
SRR5681624,0.0,10857.0,ITS1.drght.169,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Davis,4.0,indica
SRR5681625,0.0,18147.0,ITS1.drght.9,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Biggs,1.0,indica
SRR5681626,0.0,11175.0,ITS1.drght.164,Oryza sativa,M206,Watered,Endosphere,Arbuckle,4.0,japonica
SRR5681627,0.0,14210.0,ITS1.drght.163,Oryza sativa,IR20,Watered,Endosphere,Arbuckle,4.0,indica
SRR5681628,0.0,12567.0,ITS1.drght.162,Oryza glaberrima,Gl_CG14,Watered,Endosphere,Arbuckle,4.0,indica
SRR5681629,0.0,14126.0,ITS1.drght.161,Oryza glaberrima,TOg7102,Watered,Endosphere,Arbuckle,4.0,indica
SRR5681630,0.0,20948.0,ITS1.drght.168,Oryza sativa,M206,Watered,Endosphere,Biggs,4.0,japonica
