index,D_0__Archaea;D_1__Crenarchaeota,D_0__Archaea;D_1__Diapherotrites,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Nanoarchaeaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__BRC1,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chlamydiae,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cloacimonetes,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Dadabacteria,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Epsilonbacteraeota,D_0__Bacteria;D_1__FBP,D_0__Bacteria;D_1__FCPU426,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__GAL15,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Hydrogenedentes,D_0__Bacteria;D_1__Kiritimatiellaeota,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Lentisphaerae,D_0__Bacteria;D_1__Margulisbacteria,D_0__Bacteria;D_1__Nitrospinae,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Omnitrophicaeota,D_0__Bacteria;D_1__PAUC34f,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Tenericutes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WOR-1,D_0__Bacteria;D_1__WPS-2,D_0__Bacteria;D_1__WS1,D_0__Bacteria;D_1__WS2,D_0__Bacteria;D_1__WS4,D_0__Bacteria;D_1__Zixibacteria,D_0__Bacteria;__,Name,host,host infra specific rank,watering regimen,root_compartment,soil_source,biological_replicate,host infra specific name
SRR5532639,0.0,0.0,5.0,1.0,5.0,699.0,2599.0,9.0,1.0,655.0,0.0,1444.0,0.0,6807.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,887.0,34.0,0.0,41.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,21589.0,0.0,1.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,drght.13,Oryza glaberrima,TOg7102,Drought,Endosphere,Davis,1.0,indica
SRR5532640,0.0,0.0,0.0,1.0,3.0,325.0,1233.0,27.0,0.0,1048.0,0.0,647.0,0.0,12561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,13.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,102.0,31656.0,0.0,0.0,0.0,134.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,drght.16,Oryza sativa,M206,Drought,Endosphere,Davis,1.0,japonica
SRR5532641,0.0,0.0,1.0,0.0,0.0,332.0,3275.0,5.0,0.0,999.0,0.0,769.0,0.0,11066.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,705.0,86.0,0.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,27521.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,drght.15,Oryza sativa,IR20,Drought,Endosphere,Davis,1.0,indica
SRR5532642,0.0,0.0,19.0,0.0,1.0,164.0,842.0,48.0,0.0,291.0,0.0,542.0,0.0,3261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,140.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,69.0,7904.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drght.18,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Arbuckle,1.0,indica
SRR5532643,0.0,0.0,19.0,0.0,2.0,77.0,1102.0,6.0,1.0,141.0,0.0,315.0,0.0,7374.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,141.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,19.0,12670.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,drght.17,Oryza glaberrima,TOg7102,Drought,Endosphere,Arbuckle,1.0,indica
SRR5532644,0.0,0.0,6.0,0.0,0.0,132.0,1452.0,3.0,1.0,216.0,0.0,401.0,0.0,5737.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,65.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11487.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,drght.20,Oryza sativa,M206,Drought,Endosphere,Arbuckle,1.0,japonica
SRR5532645,1.0,0.0,12.0,0.0,2.0,198.0,1515.0,4.0,0.0,201.0,0.0,472.0,1.0,3246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,86.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,78.0,10310.0,0.0,5.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drght.19,Oryza sativa,IR20,Drought,Endosphere,Arbuckle,1.0,indica
SRR5532646,25.0,0.0,97.0,10.0,34.0,3128.0,10432.0,132.0,7.0,1702.0,3.0,2597.0,15.0,386.0,0.0,16.0,3.0,5.0,1.0,2.0,1.0,0.0,78.0,1233.0,0.0,1951.0,31.0,0.0,10.0,0.0,0.0,0.0,27.0,3.0,0.0,14.0,1068.0,14110.0,22.0,0.0,0.0,1059.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,drght.77,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Arbuckle,2.0,indica
SRR5532647,0.0,0.0,0.0,0.0,0.0,79.0,256.0,11.0,0.0,28.0,0.0,126.0,0.0,6622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5913.0,0.0,2.0,0.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,drght.118,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Biggs,3.0,indica
SRR5532648,0.0,0.0,12.0,0.0,0.0,183.0,325.0,16.0,0.0,34.0,0.0,222.0,0.0,5735.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,96.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,16.0,8330.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drght.117,Oryza glaberrima,TOg7102,Drought,Endosphere,Biggs,3.0,indica
SRR5532649,0.0,0.0,0.0,0.0,0.0,205.0,1096.0,6.0,0.0,276.0,0.0,373.0,0.0,4055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,93.0,0.0,10.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,7147.0,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,drght.116,Oryza sativa,M206,Drought,Endosphere,Arbuckle,3.0,japonica
SRR5532650,0.0,0.0,0.0,0.0,0.0,342.0,382.0,7.0,0.0,171.0,0.0,594.0,0.0,2347.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,195.0,101.0,0.0,9.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,5992.0,0.0,0.0,0.0,72.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,drght.115,Oryza sativa,IR20,Drought,Endosphere,Arbuckle,3.0,indica
SRR5532651,0.0,0.0,26.0,0.0,0.0,124.0,403.0,1.0,0.0,115.0,0.0,340.0,0.0,3440.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,194.0,0.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,7046.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,drght.114,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Arbuckle,3.0,indica
SRR5532652,0.0,0.0,26.0,0.0,1.0,142.0,1499.0,3.0,1.0,158.0,0.0,550.0,0.0,2902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,237.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,19.0,8438.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drght.113,Oryza glaberrima,TOg7102,Drought,Endosphere,Arbuckle,3.0,indica
SRR5532653,0.0,0.0,0.0,0.0,1.0,408.0,1858.0,7.0,0.0,1059.0,0.0,860.0,0.0,8178.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,339.0,83.0,0.0,56.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,103.0,22903.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,drght.112,Oryza sativa,M206,Drought,Endosphere,Davis,3.0,japonica
SRR5532654,0.0,0.0,0.0,0.0,2.0,320.0,4465.0,6.0,0.0,3853.0,0.0,1265.0,0.0,4892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,171.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,47.0,24809.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,drght.111,Oryza sativa,IR20,Drought,Endosphere,Davis,3.0,indica
SRR5532655,0.0,0.0,19.0,0.0,4.0,230.0,2015.0,8.0,2.0,624.0,0.0,474.0,0.0,6694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.0,410.0,0.0,37.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,108.0,23375.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drght.92,Oryza sativa,M206,Drought,Endosphere,Arbuckle,2.0,japonica
SRR5532656,0.0,0.0,4.0,0.0,2.0,395.0,1907.0,6.0,0.0,505.0,0.0,652.0,1.0,5828.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,427.0,177.0,0.0,19.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,69.0,23352.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drght.91,Oryza sativa,IR20,Drought,Endosphere,Arbuckle,2.0,indica
SRR5532657,0.0,0.0,21.0,3.0,0.0,305.0,1218.0,30.0,4.0,123.0,0.0,682.0,0.0,14365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,159.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,47.0,20825.0,1.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drght.94,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Biggs,2.0,indica
SRR5532658,3.0,0.0,19.0,3.0,0.0,288.0,851.0,9.0,4.0,48.0,0.0,655.0,0.0,13188.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,97.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,19.0,26667.0,0.0,1.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drght.93,Oryza glaberrima,TOg7102,Drought,Endosphere,Biggs,2.0,indica
