index,D_0__Archaea;D_1__Crenarchaeota,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Nanoarchaeaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__BRC1,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cloacimonetes,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Dadabacteria,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Epsilonbacteraeota,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__GAL15,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Hydrogenedentes,D_0__Bacteria;D_1__Kiritimatiellaeota,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Nitrospinae,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WPS-2,D_0__Bacteria;D_1__Zixibacteria,D_0__Bacteria;__,Unassigned;__,Run,Library_Name,environment material
SRR1560677,0.0,4.0,1.0,0.0,20.0,6.0,1.0,1.0,65.0,22.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,4.0,0.0,0.0,0.0,2.0,23.0,1.0,4.0,400.0,0.0,0.0,11.0,0.0,0.0,23.0,0.0,SAMN03009521,RhizosphereSoil8,RhizosphereSoil
SRR1560686,0.0,0.0,0.0,1.0,19.0,66.0,0.0,0.0,229.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,920.0,1.0,1.0,48.0,0.0,0.0,5.0,0.0,SAMN03009530,FePlaque2,FePlaque
SRR1560698,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,298.0,0.0,0.0,12.0,0.0,0.0,3.0,0.0,SAMN03009541,FePlaque13,FePlaque
SRR1560695,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,52.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,294.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,SAMN03009538,FePlaque10,FePlaque
SRR1561372,0.0,0.0,0.0,8.0,16.0,26.0,0.0,0.0,11.0,9.0,0.0,25.0,0.0,1.0,0.0,1.0,0.0,21.0,0.0,16.0,0.0,0.0,0.0,0.0,8.0,0.0,11.0,104.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,SAMN03009500,BulkSoil2,BulkSoil
SRR1560681,0.0,0.0,0.0,5.0,40.0,32.0,0.0,0.0,58.0,19.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,30.0,0.0,19.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,429.0,2.0,0.0,16.0,0.0,0.0,12.0,0.0,SAMN03009525,RhizosphereSoil12,RhizosphereSoil
SRR1560684,0.0,2.0,0.0,2.0,9.0,5.0,1.0,0.0,43.0,16.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,8.0,0.0,15.0,0.0,0.0,0.0,1.0,9.0,1.0,4.0,277.0,1.0,0.0,16.0,0.0,2.0,5.0,0.0,SAMN03009528,RhizosphereSoil15,RhizosphereSoil
SRR1560687,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,124.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,631.0,0.0,0.0,24.0,0.0,0.0,6.0,0.0,SAMN03009531,FePlaque3,FePlaque
SRR1560690,1.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,348.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,650.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,SAMN03009534,FePlaque6,FePlaque
SRR1560691,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,34.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,811.0,1.0,1.0,3.0,0.0,0.0,5.0,1.0,SAMN03009535,FePlaque7,FePlaque
SRR1560661,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,5.0,0.0,0.0,1.0,0.0,7.0,0.0,3.0,142.0,1.0,0.0,6.0,0.0,1.0,5.0,0.0,SAMN03009516,RhizosphereSoil3,RhizosphereSoil
SRR1560688,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,40.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,1.0,1.0,15.0,0.0,0.0,2.0,0.0,SAMN03009532,FePlaque4,FePlaque
SRR1560697,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,SAMN03009540,FePlaque12,FePlaque
SRR1560700,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,55.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,233.0,0.0,0.0,18.0,0.0,0.0,8.0,0.0,SAMN03009542,FePlaque14,FePlaque
