index,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Deferribacteres,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WS2,D_0__Bacteria;__,Name,Collection,State,TimePoint
ERR2654416,1312.0,2438.0,3.0,782.0,340.0,62.0,0.0,0.0,4.0,2.0,36.0,444.0,61.0,25.0,26.0,3.0,46.0,2611.0,39.0,2.0,1143.0,0.0,612.0,A06D,September,control,2 months recovery
ERR2654490,846.0,2113.0,0.0,294.0,270.0,149.0,0.0,0.0,4.0,0.0,0.0,366.0,22.0,18.0,26.0,5.0,13.0,2030.0,36.0,0.0,917.0,0.0,439.0,D01D,September,control,2 months recovery
ERR2654413,1353.0,3449.0,0.0,591.0,583.0,67.0,2.0,4.0,0.0,0.0,2.0,449.0,33.0,44.0,19.0,53.0,58.0,2883.0,51.0,0.0,1491.0,2.0,668.0,A06A,September,control,Before drought
ERR2654468,279.0,575.0,0.0,56.0,55.0,10.0,0.0,0.0,0.0,0.0,0.0,154.0,4.0,8.0,8.0,0.0,12.0,550.0,18.0,0.0,501.0,0.0,89.0,C04B,September,drought,At the end of the drought
ERR2654510,772.0,2274.0,0.0,570.0,329.0,26.0,0.0,0.0,0.0,2.0,34.0,442.0,42.0,26.0,16.0,18.0,37.0,2163.0,42.0,0.0,1145.0,0.0,423.0,D07B,September,control,At the end of the drought
ERR2654410,1092.0,1646.0,0.0,220.0,246.0,45.0,0.0,0.0,0.0,5.0,7.0,395.0,14.0,30.0,20.0,2.0,31.0,1914.0,53.0,0.0,1383.0,0.0,380.0,A05B,September,drought,At the end of the drought
ERR2654591,1446.0,2212.0,0.0,422.0,263.0,16.0,0.0,0.0,0.0,0.0,0.0,1003.0,72.0,8.0,11.0,49.0,49.0,3334.0,53.0,0.0,1650.0,0.0,415.0,G05C,September,drought,A week recovery
ERR2654411,992.0,1954.0,0.0,330.0,199.0,6.0,0.0,0.0,3.0,2.0,43.0,454.0,27.0,9.0,5.0,21.0,46.0,3283.0,33.0,0.0,1298.0,0.0,340.0,A05C,September,drought,A week recovery
ERR2654559,1251.0,2470.0,0.0,220.0,219.0,20.0,2.0,0.0,0.0,0.0,0.0,564.0,30.0,4.0,16.0,28.0,75.0,2898.0,46.0,0.0,1976.0,0.0,363.0,F04D,September,drought,2 months recovery
ERR2654421,1178.0,1764.0,0.0,504.0,251.0,46.0,0.0,0.0,0.0,0.0,35.0,315.0,54.0,59.0,18.0,18.0,30.0,2450.0,45.0,0.0,811.0,2.0,343.0,A08C,September,control,2 months recovery
ERR2654482,1040.0,2470.0,0.0,737.0,305.0,236.0,0.0,0.0,2.0,9.0,46.0,639.0,39.0,26.0,18.0,19.0,51.0,2743.0,42.0,0.0,1641.0,0.0,492.0,C08B,September,control,At the end of the drought
