index,D_0__Bacteria;D_1__Acidobacteria;D_2__AT-s3-28,D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia,D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4),D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 11,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 15,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 17,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 22,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 5,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6,D_0__Bacteria;D_1__Acidobacteria;D_2__Thermoanaerobaculia,D_0__Bacteria;D_1__Acidobacteria;__,D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia,D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria,D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia,D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108,D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia,D_0__Bacteria;D_1__Actinobacteria;__,D_0__Bacteria;D_1__Armatimonadetes;D_2__Fimbriimonadia,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia,D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria,D_0__Bacteria;D_1__Bacteroidetes;__,D_0__Bacteria;D_1__Chloroflexi;D_2__AD3,D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae,D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia,D_0__Bacteria;D_1__Chloroflexi;D_2__Dehalococcoidia,D_0__Bacteria;D_1__Chloroflexi;D_2__Gitt-GS-136,D_0__Bacteria;D_1__Chloroflexi;D_2__JG30-KF-CM66,D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96,D_0__Bacteria;D_1__Chloroflexi;D_2__Ktedonobacteria,D_0__Bacteria;D_1__Chloroflexi;D_2__OLB14,D_0__Bacteria;D_1__Chloroflexi;D_2__TK10,D_0__Bacteria;D_1__Chloroflexi;__,D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria,D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria,D_0__Bacteria;D_1__Cyanobacteria;D_2__Sericytochromatia,D_0__Bacteria;D_1__Deferribacteres;D_2__Deferribacteres,D_0__Bacteria;D_1__Deinococcus-Thermus;D_2__Deinococci,D_0__Bacteria;D_1__Dependentiae;D_2__Babeliae,D_0__Bacteria;D_1__Elusimicrobia;D_2__Elusimicrobia,D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIa,D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIb,D_0__Bacteria;D_1__Elusimicrobia;__,D_0__Bacteria;D_1__Fibrobacteres;D_2__Fibrobacteria,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia,D_0__Bacteria;D_1__Firmicutes;__,D_0__Bacteria;D_1__Gemmatimonadetes;D_2__Gemmatimonadetes,D_0__Bacteria;D_1__Latescibacteria;D_2__Latescibacteria,D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured Acidobacterium sp.,D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured Fibrobacteres bacterium,D_0__Bacteria;D_1__Latescibacteria;__,D_0__Bacteria;D_1__Nitrospirae;D_2__4-29-1,D_0__Bacteria;D_1__Nitrospirae;D_2__Nitrospira,D_0__Bacteria;D_1__Patescibacteria;D_2__CPR2,D_0__Bacteria;D_1__Patescibacteria;D_2__Saccharimonadia,D_0__Bacteria;D_1__Patescibacteria;D_2__WS6 (Dojkabacteria),D_0__Bacteria;D_1__Planctomycetes;D_2__OM190,D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae,D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia,D_0__Bacteria;D_1__Planctomycetes;__,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;__,D_0__Bacteria;D_1__Rokubacteria;D_2__NC10,D_0__Bacteria;D_1__Spirochaetes;D_2__Leptospirae,D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae,D_0__Bacteria;D_1__WS2;D_2__metagenome,D_0__Bacteria;__;__,Name,Collection,State,TimePoint
ERR2654541,4.0,500.0,259.0,40.0,7.0,3.0,20.0,34.0,27.0,423.0,0.0,59.0,197.0,1089.0,5.0,14.0,357.0,268.0,5.0,569.0,0.0,0.0,28.0,147.0,55.0,41.0,6.0,11.0,55.0,6.0,2.0,43.0,0.0,2.0,648.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0,19.0,374.0,21.0,0.0,46.0,15.0,19.0,0.0,52.0,3.0,45.0,0.0,22.0,2.0,0.0,2.0,27.0,0.0,1524.0,243.0,472.0,128.0,95.0,0.0,1410.0,0.0,498.0,E08B,September,drought,At the end of the drought
ERR2654523,0.0,148.0,85.0,12.0,0.0,0.0,2.0,0.0,0.0,123.0,0.0,10.0,42.0,649.0,0.0,2.0,246.0,114.0,0.0,192.0,0.0,0.0,0.0,12.0,5.0,2.0,0.0,0.0,29.0,6.0,0.0,6.0,0.0,0.0,38.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,295.0,10.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,24.0,0.0,0.0,0.0,8.0,0.0,985.0,31.0,321.0,50.0,2.0,0.0,599.0,0.0,119.0,E02C,September,drought,A week recovery
ERR2654446,0.0,235.0,190.0,50.0,3.0,0.0,6.0,3.0,9.0,338.0,0.0,54.0,151.0,735.0,0.0,9.0,307.0,229.0,0.0,151.0,0.0,0.0,25.0,35.0,23.0,10.0,8.0,0.0,50.0,7.0,5.0,27.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,155.0,7.0,0.0,34.0,7.0,5.0,0.0,11.0,2.0,10.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,898.0,90.0,288.0,60.0,41.0,0.0,824.0,0.0,278.0,B06C,September,drought,2 months recovery
ERR2654532,0.0,180.0,216.0,38.0,3.0,0.0,0.0,4.0,2.0,168.0,0.0,17.0,114.0,736.0,0.0,3.0,316.0,204.0,0.0,205.0,0.0,0.0,10.0,10.0,14.0,2.0,2.0,0.0,33.0,4.0,0.0,14.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,332.0,18.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,995.0,59.0,261.0,61.0,15.0,0.0,859.0,0.0,212.0,E05C,September,drought,A week recovery
ERR2654630,0.0,325.0,166.0,56.0,6.0,0.0,10.0,25.0,8.0,223.0,0.0,32.0,136.0,682.0,5.0,6.0,225.0,206.0,0.0,366.0,0.0,0.0,20.0,42.0,33.0,12.0,8.0,4.0,43.0,9.0,0.0,22.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,24.0,350.0,24.0,0.0,33.0,5.0,8.0,3.0,16.0,2.0,22.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,1077.0,119.0,303.0,70.0,35.0,0.0,728.0,0.0,282.0,H09C,September,control,A week recovery
ERR2654501,0.0,115.0,71.0,15.0,0.0,0.0,7.0,0.0,2.0,205.0,0.0,8.0,94.0,691.0,2.0,9.0,212.0,154.0,0.0,122.0,0.0,0.0,11.0,38.0,10.0,10.0,2.0,6.0,45.0,9.0,0.0,16.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,162.0,5.0,0.0,14.0,4.0,2.0,0.0,11.0,0.0,5.0,0.0,37.0,0.0,0.0,0.0,10.0,0.0,538.0,32.0,216.0,23.0,22.0,0.0,439.0,0.0,181.0,D05A,September,drought,Before drought
ERR2654545,0.0,231.0,299.0,57.0,4.0,4.0,0.0,0.0,4.0,215.0,0.0,46.0,147.0,1035.0,2.0,15.0,313.0,235.0,0.0,418.0,3.0,0.0,12.0,19.0,14.0,5.0,5.0,0.0,62.0,7.0,0.0,33.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,313.0,12.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,14.0,0.0,0.0,0.0,18.0,0.0,1376.0,74.0,624.0,123.0,18.0,0.0,844.0,0.0,263.0,E11C,September,drought,A week recovery
ERR2654428,0.0,519.0,326.0,110.0,3.0,4.0,20.0,22.0,12.0,447.0,0.0,75.0,347.0,1795.0,3.0,26.0,643.0,447.0,6.0,885.0,3.0,2.0,51.0,144.0,65.0,15.0,25.0,10.0,86.0,13.0,2.0,50.0,0.0,9.0,35.0,5.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,656.0,58.0,3.0,72.0,16.0,4.0,0.0,22.0,8.0,31.0,0.0,9.0,0.0,0.0,5.0,89.0,0.0,2188.0,177.0,715.0,93.0,60.0,0.0,1654.0,0.0,696.0,B01D,September,control,2 months recovery
ERR2654412,0.0,336.0,288.0,77.0,5.0,4.0,4.0,2.0,2.0,176.0,0.0,61.0,117.0,944.0,0.0,14.0,400.0,257.0,0.0,277.0,0.0,0.0,14.0,33.0,20.0,10.0,8.0,0.0,32.0,10.0,0.0,17.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,415.0,30.0,0.0,33.0,8.0,0.0,0.0,3.0,6.0,7.0,0.0,23.0,0.0,0.0,2.0,54.0,0.0,1705.0,139.0,546.0,79.0,30.0,0.0,1431.0,2.0,243.0,A05D,September,drought,2 months recovery
ERR2654598,0.0,389.0,185.0,61.0,0.0,3.0,25.0,13.0,28.0,520.0,0.0,59.0,372.0,1733.0,0.0,30.0,648.0,475.0,0.0,607.0,2.0,3.0,44.0,119.0,67.0,27.0,23.0,7.0,102.0,35.0,2.0,64.0,0.0,6.0,139.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,17.0,519.0,26.0,0.0,69.0,14.0,7.0,2.0,33.0,3.0,26.0,0.0,23.0,0.0,0.0,2.0,46.0,0.0,2027.0,210.0,717.0,132.0,68.0,0.0,1244.0,0.0,585.0,G07B,September,control,At the end of the drought
