index,D_0__Bacteria;D_1__Acidobacteria;D_2__AT-s3-28,D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia,D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4),D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 11,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 15,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 17,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 22,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 5,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6,D_0__Bacteria;D_1__Acidobacteria;D_2__Thermoanaerobaculia,D_0__Bacteria;D_1__Acidobacteria;__,D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia,D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria,D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia,D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108,D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia,D_0__Bacteria;D_1__Actinobacteria;__,D_0__Bacteria;D_1__Armatimonadetes;D_2__Fimbriimonadia,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia,D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria,D_0__Bacteria;D_1__Bacteroidetes;__,D_0__Bacteria;D_1__Chloroflexi;D_2__AD3,D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae,D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia,D_0__Bacteria;D_1__Chloroflexi;D_2__Dehalococcoidia,D_0__Bacteria;D_1__Chloroflexi;D_2__Gitt-GS-136,D_0__Bacteria;D_1__Chloroflexi;D_2__JG30-KF-CM66,D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96,D_0__Bacteria;D_1__Chloroflexi;D_2__Ktedonobacteria,D_0__Bacteria;D_1__Chloroflexi;D_2__OLB14,D_0__Bacteria;D_1__Chloroflexi;D_2__TK10,D_0__Bacteria;D_1__Chloroflexi;__,D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria,D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria,D_0__Bacteria;D_1__Cyanobacteria;D_2__Sericytochromatia,D_0__Bacteria;D_1__Deferribacteres;D_2__Deferribacteres,D_0__Bacteria;D_1__Deinococcus-Thermus;D_2__Deinococci,D_0__Bacteria;D_1__Dependentiae;D_2__Babeliae,D_0__Bacteria;D_1__Elusimicrobia;D_2__Elusimicrobia,D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIa,D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIb,D_0__Bacteria;D_1__Elusimicrobia;__,D_0__Bacteria;D_1__Fibrobacteres;D_2__Fibrobacteria,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia,D_0__Bacteria;D_1__Firmicutes;__,D_0__Bacteria;D_1__Gemmatimonadetes;D_2__Gemmatimonadetes,D_0__Bacteria;D_1__Latescibacteria;D_2__Latescibacteria,D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured Acidobacterium sp.,D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured Fibrobacteres bacterium,D_0__Bacteria;D_1__Latescibacteria;__,D_0__Bacteria;D_1__Nitrospirae;D_2__4-29-1,D_0__Bacteria;D_1__Nitrospirae;D_2__Nitrospira,D_0__Bacteria;D_1__Patescibacteria;D_2__CPR2,D_0__Bacteria;D_1__Patescibacteria;D_2__Saccharimonadia,D_0__Bacteria;D_1__Patescibacteria;D_2__WS6 (Dojkabacteria),D_0__Bacteria;D_1__Planctomycetes;D_2__OM190,D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae,D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia,D_0__Bacteria;D_1__Planctomycetes;__,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;__,D_0__Bacteria;D_1__Rokubacteria;D_2__NC10,D_0__Bacteria;D_1__Spirochaetes;D_2__Leptospirae,D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae,D_0__Bacteria;D_1__WS2;D_2__metagenome,D_0__Bacteria;__;__,Name,Collection,State,TimePoint
ERR2654425,0.0,440.0,284.0,85.0,13.0,4.0,37.0,19.0,26.0,768.0,0.0,62.0,405.0,2343.0,8.0,29.0,699.0,537.0,0.0,1330.0,4.0,0.0,39.0,208.0,115.0,69.0,29.0,8.0,174.0,37.0,6.0,89.0,0.0,3.0,499.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,28.0,605.0,34.0,0.0,53.0,18.0,5.0,0.0,42.0,3.0,56.0,0.0,49.0,0.0,0.0,2.0,90.0,0.0,2992.0,230.0,1159.0,190.0,73.0,0.0,1849.0,0.0,970.0,B01A,September,drought,Before drought
ERR2654619,0.0,426.0,280.0,67.0,0.0,0.0,0.0,0.0,3.0,211.0,0.0,45.0,127.0,1141.0,0.0,5.0,528.0,309.0,0.0,500.0,0.0,0.0,5.0,24.0,19.0,2.0,0.0,2.0,64.0,10.0,0.0,22.0,0.0,0.0,14.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,689.0,33.0,0.0,49.0,2.0,0.0,0.0,2.0,0.0,7.0,0.0,261.0,0.0,0.0,0.0,19.0,0.0,2008.0,120.0,910.0,117.0,19.0,0.0,1614.0,0.0,301.0,H05C,September,drought,A week recovery
ERR2654448,0.0,509.0,247.0,55.0,4.0,0.0,24.0,8.0,21.0,540.0,0.0,47.0,394.0,2498.0,5.0,26.0,660.0,480.0,0.0,1137.0,2.0,6.0,39.0,220.0,82.0,32.0,14.0,9.0,108.0,20.0,0.0,88.0,2.0,0.0,148.0,0.0,0.0,16.0,4.0,0.0,5.0,0.0,0.0,5.0,633.0,36.0,0.0,85.0,13.0,6.0,0.0,27.0,0.0,46.0,0.0,100.0,0.0,0.0,4.0,98.0,0.0,2425.0,277.0,826.0,120.0,44.0,0.0,1783.0,0.0,820.0,B07A,September,control,Before drought
ERR2654499,0.0,445.0,210.0,92.0,7.0,10.0,18.0,42.0,26.0,554.0,0.0,73.0,192.0,922.0,13.0,16.0,407.0,281.0,0.0,411.0,0.0,2.0,15.0,93.0,53.0,32.0,0.0,2.0,62.0,4.0,0.0,57.0,0.0,5.0,7.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,23.0,323.0,19.0,0.0,25.0,15.0,7.0,0.0,61.0,0.0,30.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,1548.0,277.0,450.0,148.0,26.0,2.0,1475.0,0.0,514.0,D04C,September,control,A week recovery
ERR2654486,3.0,415.0,321.0,95.0,4.0,2.0,0.0,33.0,25.0,307.0,0.0,71.0,139.0,740.0,0.0,17.0,280.0,234.0,0.0,473.0,4.0,4.0,62.0,67.0,35.0,15.0,16.0,20.0,36.0,16.0,2.0,42.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,281.0,4.0,0.0,72.0,22.0,5.0,0.0,48.0,0.0,35.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0,1138.0,160.0,493.0,142.0,53.0,4.0,819.0,0.0,425.0,C11C,September,control,A week recovery
ERR2654493,0.0,177.0,99.0,20.0,0.0,0.0,0.0,0.0,4.0,154.0,0.0,22.0,75.0,696.0,2.0,12.0,303.0,171.0,0.0,165.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,53.0,6.0,0.0,14.0,0.0,2.0,106.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,289.0,21.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,15.0,0.0,1279.0,50.0,314.0,45.0,4.0,0.0,779.0,0.0,172.0,D02C,September,drought,A week recovery
ERR2654573,0.0,244.0,127.0,53.0,9.0,0.0,10.0,15.0,2.0,347.0,0.0,50.0,175.0,989.0,5.0,12.0,303.0,276.0,3.0,409.0,2.0,3.0,43.0,66.0,32.0,11.0,10.0,4.0,60.0,12.0,2.0,29.0,0.0,0.0,17.0,3.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,454.0,46.0,0.0,27.0,12.0,6.0,0.0,32.0,4.0,28.0,0.0,6.0,0.0,0.0,0.0,19.0,0.0,1217.0,152.0,390.0,83.0,20.0,0.0,867.0,0.0,423.0,F09C,September,control,A week recovery
ERR2654617,0.0,311.0,139.0,23.0,2.0,0.0,0.0,0.0,11.0,444.0,46.0,37.0,431.0,2430.0,3.0,17.0,711.0,425.0,2.0,930.0,8.0,0.0,9.0,129.0,57.0,17.0,4.0,0.0,137.0,2.0,0.0,68.0,0.0,0.0,119.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,30.0,500.0,19.0,0.0,79.0,5.0,2.0,0.0,10.0,0.0,7.0,0.0,53.0,0.0,0.0,0.0,62.0,0.0,1998.0,131.0,884.0,101.0,12.0,0.0,1428.0,0.0,634.0,H05A,September,drought,Before drought
ERR2654515,0.0,266.0,224.0,67.0,2.0,2.0,15.0,25.0,8.0,313.0,0.0,49.0,156.0,895.0,2.0,11.0,291.0,223.0,3.0,275.0,3.0,0.0,33.0,43.0,36.0,15.0,8.0,4.0,41.0,12.0,0.0,21.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,297.0,29.0,0.0,34.0,11.0,0.0,0.0,22.0,2.0,26.0,0.0,3.0,0.0,0.0,0.0,27.0,0.0,1246.0,116.0,390.0,79.0,47.0,0.0,884.0,0.0,300.0,D10C,September,drought,A week recovery
ERR2654539,0.0,378.0,259.0,69.0,3.0,2.0,10.0,10.0,20.0,353.0,0.0,45.0,275.0,1597.0,3.0,17.0,461.0,360.0,0.0,556.0,0.0,0.0,30.0,106.0,52.0,32.0,18.0,16.0,81.0,12.0,2.0,56.0,0.0,2.0,123.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,71.0,393.0,20.0,2.0,65.0,18.0,5.0,0.0,28.0,2.0,24.0,0.0,39.0,0.0,0.0,2.0,30.0,0.0,1424.0,156.0,590.0,140.0,56.0,0.0,1295.0,0.0,569.0,E07B,September,control,At the end of the drought
ERR2654581,0.0,157.0,133.0,47.0,2.0,2.0,12.0,15.0,5.0,164.0,0.0,26.0,80.0,397.0,0.0,6.0,160.0,119.0,0.0,161.0,3.0,0.0,31.0,20.0,5.0,8.0,9.0,0.0,37.0,2.0,2.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,132.0,11.0,2.0,20.0,7.0,5.0,0.0,29.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,571.0,81.0,238.0,65.0,29.0,0.0,333.0,0.0,194.0,G02C,September,control,A week recovery
ERR2654544,0.0,188.0,171.0,43.0,3.0,0.0,2.0,4.0,6.0,217.0,0.0,32.0,141.0,924.0,4.0,7.0,287.0,220.0,2.0,207.0,0.0,0.0,25.0,34.0,32.0,14.0,13.0,3.0,58.0,16.0,0.0,31.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,273.0,9.0,0.0,22.0,2.0,3.0,0.0,2.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,20.0,0.0,1039.0,63.0,232.0,64.0,35.0,0.0,788.0,0.0,256.0,E10C,September,drought,A week recovery
ERR2654438,0.0,264.0,186.0,57.0,3.0,0.0,6.0,4.0,2.0,183.0,0.0,42.0,104.0,726.0,2.0,10.0,305.0,239.0,0.0,287.0,0.0,0.0,15.0,13.0,13.0,8.0,10.0,0.0,47.0,8.0,0.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,360.0,8.0,0.0,22.0,2.0,0.0,0.0,5.0,3.0,13.0,0.0,12.0,0.0,0.0,0.0,25.0,0.0,1438.0,84.0,406.0,77.0,32.0,0.0,964.0,0.0,189.0,B04C,September,drought,A week recovery
ERR2654504,0.0,413.0,277.0,71.0,5.0,7.0,10.0,18.0,11.0,411.0,2.0,64.0,225.0,1145.0,6.0,20.0,387.0,285.0,2.0,642.0,8.0,0.0,77.0,119.0,55.0,26.0,24.0,12.0,82.0,15.0,2.0,52.0,0.0,2.0,7.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,14.0,413.0,56.0,0.0,43.0,23.0,2.0,0.0,15.0,2.0,34.0,0.0,18.0,0.0,0.0,2.0,39.0,0.0,1476.0,163.0,497.0,90.0,56.0,0.0,1335.0,0.0,532.0,D05D,September,control,2 months recovery
ERR2654575,0.0,479.0,473.0,92.0,6.0,5.0,7.0,0.0,4.0,216.0,0.0,60.0,148.0,1353.0,0.0,9.0,691.0,424.0,0.0,787.0,2.0,0.0,14.0,17.0,13.0,2.0,8.0,2.0,71.0,15.0,2.0,5.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.0,35.0,0.0,44.0,0.0,0.0,0.0,6.0,2.0,7.0,0.0,26.0,0.0,0.0,0.0,77.0,0.0,2711.0,164.0,1392.0,231.0,31.0,0.0,1658.0,0.0,421.0,F11C,September,drought,A week recovery
ERR2654444,0.0,296.0,114.0,30.0,0.0,0.0,9.0,4.0,10.0,347.0,0.0,25.0,258.0,1605.0,5.0,11.0,482.0,345.0,0.0,492.0,0.0,6.0,21.0,92.0,39.0,18.0,16.0,4.0,91.0,13.0,2.0,40.0,0.0,0.0,52.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,312.0,37.0,0.0,43.0,0.0,0.0,0.0,11.0,0.0,18.0,0.0,25.0,3.0,0.0,0.0,71.0,0.0,1486.0,125.0,439.0,60.0,20.0,0.0,1159.0,0.0,540.0,B06A,September,control,Before drought
ERR2654517,0.0,467.0,206.0,64.0,9.0,0.0,18.0,6.0,21.0,674.0,0.0,58.0,319.0,2104.0,3.0,27.0,669.0,424.0,0.0,585.0,0.0,2.0,24.0,112.0,72.0,41.0,9.0,13.0,137.0,25.0,3.0,61.0,0.0,6.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,448.0,42.0,0.0,35.0,7.0,4.0,0.0,19.0,2.0,25.0,0.0,27.0,0.0,0.0,2.0,54.0,0.0,2309.0,205.0,725.0,121.0,47.0,0.0,1497.0,0.0,630.0,E01A,September,control,Before drought
ERR2654565,0.0,551.0,162.0,65.0,10.0,0.0,11.0,20.0,27.0,654.0,0.0,60.0,345.0,1492.0,0.0,21.0,642.0,461.0,0.0,368.0,2.0,7.0,43.0,118.0,79.0,38.0,14.0,11.0,139.0,33.0,6.0,97.0,0.0,2.0,47.0,0.0,2.0,0.0,4.0,0.0,7.0,2.0,3.0,18.0,417.0,26.0,0.0,40.0,12.0,17.0,0.0,55.0,2.0,34.0,0.0,4.0,0.0,0.0,0.0,67.0,0.0,2032.0,260.0,454.0,135.0,103.0,0.0,1534.0,0.0,743.0,F06B,September,drought,At the end of the drought
ERR2654566,0.0,256.0,211.0,48.0,3.0,2.0,7.0,7.0,15.0,341.0,0.0,45.0,163.0,1102.0,2.0,18.0,298.0,192.0,0.0,275.0,3.0,0.0,21.0,46.0,23.0,11.0,10.0,8.0,65.0,12.0,2.0,27.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,221.0,16.0,0.0,28.0,7.0,6.0,0.0,12.0,0.0,16.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,1054.0,112.0,342.0,74.0,20.0,0.0,794.0,0.0,344.0,F06C,September,control,2 months recovery
ERR2654491,0.0,119.0,47.0,2.0,0.0,2.0,6.0,2.0,2.0,148.0,0.0,17.0,115.0,644.0,4.0,2.0,232.0,153.0,0.0,129.0,0.0,0.0,6.0,31.0,13.0,11.0,9.0,2.0,29.0,2.0,0.0,16.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,18.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,712.0,47.0,196.0,29.0,16.0,0.0,351.0,0.0,173.0,D02A,September,drought,Before drought
ERR2654394,0.0,442.0,210.0,42.0,4.0,2.0,17.0,3.0,19.0,519.0,0.0,58.0,304.0,2266.0,4.0,19.0,661.0,414.0,0.0,1248.0,0.0,0.0,27.0,105.0,64.0,32.0,9.0,4.0,115.0,27.0,0.0,59.0,0.0,0.0,682.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,2.0,557.0,24.0,0.0,44.0,6.0,2.0,0.0,18.0,2.0,37.0,0.0,78.0,2.0,0.0,0.0,72.0,0.0,2462.0,195.0,904.0,97.0,65.0,0.0,1528.0,0.0,678.0,A01A,September,drought,Before drought
ERR2654587,0.0,249.0,134.0,40.0,5.0,2.0,3.0,28.0,15.0,300.0,0.0,33.0,116.0,655.0,2.0,15.0,247.0,212.0,2.0,235.0,0.0,0.0,37.0,51.0,16.0,12.0,10.0,9.0,47.0,5.0,2.0,28.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,7.0,241.0,21.0,0.0,49.0,8.0,3.0,0.0,48.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,932.0,129.0,322.0,85.0,44.0,0.0,586.0,0.0,325.0,G04C,September,control,A week recovery
ERR2654624,0.0,508.0,281.0,104.0,7.0,4.0,17.0,18.0,11.0,529.0,0.0,88.0,305.0,1769.0,2.0,15.0,628.0,420.0,0.0,1032.0,5.0,0.0,42.0,63.0,57.0,21.0,8.0,11.0,117.0,19.0,0.0,55.0,0.0,5.0,54.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,58.0,496.0,33.0,3.0,58.0,18.0,2.0,0.0,10.0,6.0,25.0,0.0,18.0,2.0,0.0,0.0,39.0,0.0,2035.0,189.0,706.0,126.0,41.0,0.0,1548.0,0.0,692.0,H06D,September,control,2 months recovery
ERR2654584,0.0,117.0,83.0,30.0,0.0,0.0,2.0,12.0,8.0,148.0,0.0,28.0,87.0,606.0,2.0,2.0,177.0,128.0,0.0,160.0,0.0,5.0,29.0,69.0,7.0,3.0,14.0,5.0,29.0,4.0,0.0,21.0,0.0,2.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,126.0,5.0,0.0,27.0,13.0,7.0,0.0,24.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,505.0,81.0,170.0,72.0,24.0,0.0,470.0,0.0,227.0,G03B,September,control,At the end of the drought
ERR2654525,3.0,398.0,195.0,30.0,0.0,0.0,10.0,0.0,15.0,467.0,2.0,37.0,292.0,1787.0,4.0,14.0,461.0,379.0,2.0,667.0,2.0,2.0,27.0,145.0,64.0,20.0,9.0,8.0,108.0,14.0,5.0,49.0,0.0,3.0,170.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,420.0,19.0,0.0,26.0,11.0,5.0,0.0,19.0,0.0,20.0,0.0,37.0,0.0,0.0,0.0,79.0,0.0,1732.0,151.0,666.0,93.0,48.0,0.0,1578.0,0.0,550.0,E03A,September,control,Before drought
ERR2654401,0.0,251.0,159.0,49.0,8.0,0.0,3.0,3.0,2.0,111.0,0.0,40.0,59.0,696.0,2.0,6.0,310.0,177.0,0.0,174.0,0.0,0.0,4.0,9.0,2.0,4.0,0.0,0.0,32.0,0.0,0.0,10.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,27.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,16.0,2.0,0.0,0.0,17.0,0.0,1309.0,89.0,313.0,79.0,14.0,0.0,965.0,0.0,145.0,A02D,September,drought,2 months recovery
ERR2654440,0.0,247.0,120.0,36.0,7.0,0.0,7.0,6.0,13.0,461.0,0.0,42.0,229.0,1567.0,2.0,16.0,529.0,317.0,0.0,335.0,2.0,0.0,18.0,71.0,34.0,21.0,12.0,2.0,116.0,16.0,0.0,54.0,0.0,0.0,102.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,456.0,20.0,0.0,25.0,7.0,5.0,0.0,11.0,0.0,19.0,0.0,22.0,0.0,0.0,0.0,37.0,0.0,1420.0,126.0,441.0,76.0,20.0,0.0,1001.0,0.0,465.0,B05A,September,drought,Before drought
ERR2654492,0.0,74.0,32.0,9.0,2.0,0.0,2.0,7.0,5.0,84.0,0.0,10.0,39.0,248.0,0.0,4.0,138.0,80.0,0.0,50.0,0.0,0.0,8.0,12.0,4.0,12.0,11.0,5.0,15.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,84.0,2.0,0.0,4.0,2.0,2.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,481.0,41.0,88.0,28.0,27.0,0.0,344.0,0.0,93.0,D02B,September,drought,At the end of the drought
ERR2654475,0.0,423.0,203.0,36.0,9.0,4.0,15.0,12.0,14.0,468.0,0.0,53.0,256.0,1502.0,2.0,21.0,519.0,416.0,0.0,475.0,0.0,4.0,52.0,114.0,58.0,32.0,9.0,7.0,95.0,22.0,2.0,53.0,2.0,0.0,319.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,407.0,17.0,0.0,45.0,12.0,0.0,0.0,26.0,2.0,43.0,0.0,34.0,0.0,0.0,0.0,21.0,0.0,1663.0,203.0,556.0,79.0,63.0,0.0,1199.0,0.0,558.0,C06A,September,control,Before drought
ERR2654514,0.0,394.0,272.0,71.0,4.0,0.0,11.0,20.0,11.0,610.0,2.0,62.0,325.0,1694.0,4.0,21.0,521.0,399.0,4.0,902.0,2.0,0.0,60.0,120.0,58.0,39.0,19.0,10.0,116.0,19.0,3.0,66.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,15.0,473.0,33.0,4.0,78.0,16.0,10.0,2.0,32.0,5.0,37.0,0.0,31.0,0.0,0.0,2.0,37.0,0.0,2377.0,222.0,857.0,161.0,53.0,0.0,1529.0,0.0,667.0,D09C,September,control,A week recovery
ERR2654590,2.0,490.0,161.0,52.0,2.0,2.0,32.0,32.0,19.0,630.0,0.0,82.0,255.0,1197.0,4.0,16.0,496.0,349.0,0.0,389.0,0.0,2.0,25.0,125.0,55.0,41.0,19.0,10.0,96.0,18.0,2.0,66.0,2.0,5.0,70.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,19.0,325.0,17.0,0.0,44.0,17.0,6.0,0.0,51.0,2.0,30.0,0.0,2.0,0.0,0.0,2.0,47.0,2.0,1829.0,205.0,556.0,142.0,94.0,2.0,1263.0,0.0,652.0,G05B,September,drought,At the end of the drought
ERR2654471,0.0,279.0,125.0,41.0,6.0,0.0,20.0,4.0,18.0,406.0,0.0,34.0,173.0,1149.0,6.0,10.0,366.0,279.0,0.0,232.0,0.0,2.0,23.0,59.0,33.0,19.0,6.0,2.0,67.0,4.0,3.0,30.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,357.0,22.0,2.0,8.0,9.0,5.0,0.0,13.0,3.0,16.0,0.0,22.0,0.0,0.0,0.0,11.0,0.0,1153.0,128.0,343.0,55.0,27.0,0.0,701.0,0.0,376.0,C05A,September,drought,Before drought
ERR2654592,0.0,353.0,246.0,67.0,8.0,0.0,6.0,8.0,15.0,445.0,0.0,52.0,379.0,1807.0,8.0,22.0,660.0,410.0,3.0,1080.0,0.0,0.0,50.0,83.0,53.0,20.0,17.0,14.0,129.0,21.0,0.0,69.0,0.0,0.0,39.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,476.0,19.0,3.0,61.0,25.0,0.0,0.0,10.0,5.0,28.0,0.0,47.0,0.0,2.0,2.0,61.0,0.0,1877.0,126.0,799.0,94.0,61.0,0.0,1767.0,0.0,656.0,G05D,September,control,2 months recovery
ERR2654488,0.0,354.0,147.0,45.0,9.0,2.0,21.0,15.0,17.0,574.0,0.0,51.0,259.0,1174.0,5.0,21.0,374.0,275.0,0.0,746.0,0.0,5.0,33.0,146.0,56.0,46.0,19.0,5.0,100.0,11.0,3.0,66.0,0.0,0.0,198.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,8.0,278.0,12.0,2.0,23.0,13.0,12.0,0.0,44.0,0.0,29.0,0.0,5.0,2.0,0.0,0.0,42.0,0.0,1656.0,213.0,525.0,138.0,98.0,0.0,1312.0,0.0,617.0,D01B,September,drought,At the end of the drought
ERR2654537,0.0,679.0,354.0,123.0,10.0,2.0,11.0,7.0,14.0,392.0,0.0,99.0,175.0,1293.0,5.0,14.0,568.0,394.0,0.0,445.0,3.0,0.0,30.0,59.0,25.0,11.0,8.0,0.0,71.0,20.0,3.0,19.0,0.0,12.0,35.0,2.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,21.0,831.0,50.0,0.0,48.0,5.0,0.0,0.0,6.0,11.0,30.0,0.0,29.0,0.0,0.0,2.0,58.0,0.0,2458.0,204.0,684.0,77.0,63.0,0.0,2373.0,0.0,422.0,E06D,September,drought,2 months recovery
ERR2654622,0.0,444.0,186.0,54.0,5.0,2.0,5.0,17.0,24.0,405.0,0.0,28.0,187.0,896.0,5.0,20.0,359.0,277.0,2.0,362.0,0.0,5.0,26.0,95.0,40.0,32.0,12.0,7.0,76.0,13.0,3.0,63.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,12.0,278.0,19.0,0.0,26.0,6.0,7.0,0.0,35.0,0.0,35.0,0.0,2.0,0.0,0.0,2.0,43.0,0.0,1378.0,159.0,366.0,75.0,69.0,0.0,1225.0,0.0,414.0,H06B,September,drought,At the end of the drought
ERR2654478,2.0,222.0,121.0,27.0,0.0,0.0,2.0,2.0,9.0,365.0,3.0,31.0,302.0,1461.0,0.0,9.0,507.0,329.0,20.0,474.0,5.0,0.0,3.0,57.0,55.0,5.0,4.0,0.0,99.0,5.0,0.0,33.0,0.0,7.0,237.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,260.0,12.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,24.0,0.0,0.0,0.0,19.0,0.0,1322.0,95.0,440.0,83.0,13.0,0.0,986.0,0.0,382.0,C06D,September,control,2 months recovery
ERR2654574,0.0,271.0,144.0,75.0,2.0,2.0,4.0,9.0,11.0,233.0,0.0,40.0,168.0,998.0,3.0,8.0,315.0,266.0,0.0,185.0,0.0,0.0,22.0,38.0,11.0,13.0,18.0,2.0,65.0,4.0,2.0,38.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,356.0,21.0,0.0,30.0,4.0,0.0,0.0,21.0,0.0,19.0,0.0,10.0,0.0,0.0,0.0,23.0,0.0,1291.0,91.0,351.0,53.0,33.0,0.0,916.0,0.0,318.0,F10C,September,drought,A week recovery
