index,D_0__Archaea;D_1__Altiarchaeota,D_0__Archaea;D_1__Asgardaeota,D_0__Archaea;D_1__Crenarchaeota,D_0__Archaea;D_1__Diapherotrites,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Hadesarchaeaeota,D_0__Archaea;D_1__Hydrothermarchaeota,D_0__Archaea;D_1__Nanoarchaeaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Acetothermia,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Aegiribacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Atribacteria,D_0__Bacteria;D_1__BRC1,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Caldiserica,D_0__Bacteria;D_1__Calditrichaeota,D_0__Bacteria;D_1__Chlamydiae,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cloacimonetes,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Dadabacteria,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Epsilonbacteraeota,D_0__Bacteria;D_1__FBP,D_0__Bacteria;D_1__FCPU426,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firestonebacteria,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Fusobacteria,D_0__Bacteria;D_1__GAL15,D_0__Bacteria;D_1__GN01,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Halanaerobiaeota,D_0__Bacteria;D_1__Hydrogenedentes,D_0__Bacteria;D_1__Kiritimatiellaeota,D_0__Bacteria;D_1__LCP-89,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Lentisphaerae,D_0__Bacteria;D_1__Margulisbacteria,D_0__Bacteria;D_1__Modulibacteria,D_0__Bacteria;D_1__Nitrospinae,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Omnitrophicaeota,D_0__Bacteria;D_1__PAUC34f,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Poribacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Schekmanbacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Synergistetes,D_0__Bacteria;D_1__TA06,D_0__Bacteria;D_1__Tenericutes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WOR-1,D_0__Bacteria;D_1__WPS-2,D_0__Bacteria;D_1__WS1,D_0__Bacteria;D_1__WS2,D_0__Bacteria;D_1__WS4,D_0__Bacteria;D_1__Zixibacteria,D_0__Bacteria;__,LibraryName,Sample,Experiment Title,Nucleotide,Soil_Type,Treatment,Time_Series
SRR5192488,0.0,1.0,196.0,0.0,8985.0,0.0,0.0,0.0,91.0,0.0,2437.0,9217.0,0.0,99.0,0.0,618.0,760.0,0.0,0.0,0.0,1065.0,0.0,36699.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,362.0,0.0,31384.0,0.0,0.0,0.0,181.0,69.0,50.0,0.0,0.0,44.0,1.0,0.0,0.0,2.0,39.0,2.0,0.0,0.0,3624.0,0.0,71890.0,46.0,0.0,2.0,0.0,0.0,199.0,836.0,0.0,2.0,25.0,0.0,134.0,0.0,1.0,R4B.1,SRS1929068,"RNA, re-incubated treatment, rain-fed soils",RNA,Rain-fed,Re-incubated,3.0
SRR5187785,0.0,0.0,427.0,1.0,7567.0,0.0,0.0,1.0,1420.0,1.0,42607.0,27946.0,1.0,1349.0,0.0,285.0,8728.0,0.0,2.0,2.0,26745.0,21.0,1778.0,60.0,12.0,17.0,9.0,28.0,7.0,0.0,161.0,305.0,0.0,34558.0,0.0,61.0,15.0,9130.0,0.0,23.0,10.0,0.0,1330.0,1.0,0.0,0.0,815.0,2347.0,6.0,0.0,68.0,5406.0,0.0,53289.0,3204.0,0.0,245.0,0.0,0.0,0.0,9180.0,0.0,0.0,43.0,17.0,175.0,54.0,30.0,D1A.1,SRS1928840,"DNA, incubated treatment, irrigated soils",DNA,Irrigated,Incubated,1.0
SRR5192394,0.0,3.0,31.0,0.0,1037.0,0.0,0.0,1.0,441.0,0.0,19805.0,9041.0,0.0,330.0,0.0,73.0,1013.0,0.0,1.0,0.0,3826.0,0.0,5391.0,9.0,1.0,1.0,7.0,54.0,27.0,0.0,19.0,105.0,0.0,10684.0,4.0,1.0,0.0,1885.0,7.0,4.0,19.0,0.0,681.0,0.0,0.0,7.0,926.0,2404.0,0.0,1.0,3.0,2547.0,1.0,50366.0,3782.0,2.0,138.0,0.0,0.0,13.0,3365.0,0.0,1.0,3.0,0.0,21.0,8.0,73.0,R0A.1,SRS1928843,"RNA, fresh treatment, irrigated soils",RNA,Irrigated,Fresh,0.0
SRR5192429,0.0,0.0,118.0,0.0,7139.0,0.0,0.0,1.0,674.0,0.0,13155.0,24865.0,0.0,821.0,0.0,989.0,4507.0,0.0,0.0,0.0,4705.0,0.0,11111.0,2.0,5.0,0.0,0.0,48.0,0.0,0.0,7.0,5227.0,0.0,77074.0,0.0,2.0,0.0,878.0,4.0,37.0,0.0,0.0,132.0,0.0,0.0,0.0,6.0,506.0,1.0,0.0,3.0,21468.0,0.0,97813.0,958.0,0.0,4.0,0.0,0.0,32.0,4714.0,0.0,1.0,52.0,0.0,238.0,0.0,38.0,R4A.1,SRS1928849,"RNA, re-incubated treatment, irrigated soils",RNA,Irrigated,Re-incubated,3.0
SRR5192458,0.0,7.0,882.0,18.0,15303.0,0.0,0.0,3.0,681.0,0.0,15431.0,20593.0,5.0,1174.0,1.0,180.0,10178.0,3.0,3.0,1.0,14864.0,29.0,2252.0,17.0,0.0,17.0,29.0,71.0,1.0,0.0,59.0,1894.0,3.0,34890.0,0.0,12.0,45.0,3224.0,0.0,36.0,45.0,0.0,615.0,3.0,0.0,13.0,445.0,1478.0,6.0,0.0,53.0,5059.0,0.0,35961.0,823.0,0.0,1679.0,5.0,0.0,7.0,3110.0,2.0,0.0,55.0,0.0,70.0,51.0,34.0,D1B.4,SRS1932283,"DNA, incubated treatment, rain-fed soils",DNA,Rain-fed,Incubated,1.0
SRR5192474,0.0,12.0,83.0,0.0,1582.0,0.0,0.0,1.0,79.0,0.0,5683.0,3165.0,1.0,125.0,0.0,59.0,1077.0,0.0,1.0,0.0,1758.0,7.0,4630.0,3.0,0.0,3.0,4.0,60.0,31.0,0.0,4.0,134.0,0.0,13966.0,22.0,3.0,2.0,315.0,7.0,23.0,19.0,0.0,237.0,9.0,0.0,120.0,1760.0,850.0,2.0,0.0,1.0,1860.0,0.0,41163.0,1715.0,0.0,395.0,1.0,0.0,11.0,868.0,1.0,2.0,18.0,0.0,21.0,5.0,118.0,R0B.4,SRS1932296,"RNA, fresh treatment, rain-fed soils",RNA,Rain-fed,Fresh,0.0
SRR5192498,0.0,0.0,149.0,0.0,8847.0,0.0,0.0,0.0,37.0,0.0,2522.0,10543.0,0.0,261.0,0.0,648.0,1999.0,0.0,0.0,1.0,1451.0,0.0,10972.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,518.0,0.0,53321.0,0.0,0.0,0.0,119.0,2.0,61.0,0.0,0.0,47.0,1.0,0.0,0.0,6.0,46.0,0.0,26.0,0.0,4306.0,0.0,36351.0,97.0,0.0,3.0,6.0,0.0,293.0,1057.0,0.0,0.0,126.0,0.0,93.0,2.0,6.0,R4B.4,SRS1932311,"RNA, re-incubated treatment, rain-fed soils",RNA,Rain-fed,Re-incubated,3.0
SRR5192461,0.0,0.0,721.0,0.0,11344.0,0.0,0.0,1.0,389.0,0.0,6951.0,13475.0,0.0,207.0,1.0,63.0,1316.0,0.0,1.0,3.0,7207.0,3.0,2054.0,13.0,2.0,1.0,0.0,102.0,1.0,0.0,13.0,188.0,0.0,72808.0,1.0,2.0,7.0,1863.0,0.0,5.0,7.0,0.0,174.0,1.0,0.0,0.0,51.0,423.0,0.0,0.0,14.0,630.0,0.0,16596.0,295.0,1.0,172.0,0.0,0.0,0.0,2439.0,0.0,1.0,5.0,0.0,103.0,6.0,12.0,D2B.3,SRS1932285,"DNA, dried treatment, rain-fed soils",DNA,Rain-fed,Dried,2.0
SRR5192478,0.0,0.0,170.0,0.0,2797.0,0.0,0.0,0.0,309.0,0.0,5513.0,3228.0,0.0,86.0,0.0,100.0,911.0,0.0,0.0,0.0,1740.0,0.0,4958.0,2.0,0.0,0.0,0.0,157.0,2.0,0.0,32.0,135.0,2.0,8251.0,0.0,0.0,3.0,416.0,6.0,3.0,5.0,0.0,107.0,0.0,0.0,5.0,182.0,487.0,0.0,0.0,2.0,906.0,0.0,23916.0,516.0,0.0,77.0,2.0,0.0,0.0,1454.0,0.0,0.0,2.0,0.0,45.0,4.0,12.0,R1B.3,SRS1932298,"RNA, incubated treatment, rain-fed soils",RNA,Rain-fed,Incubated,1.0
SRR5192462,0.0,0.0,407.0,2.0,13928.0,0.0,0.0,1.0,214.0,0.0,1823.0,10814.0,0.0,97.0,0.0,4.0,449.0,0.0,0.0,0.0,4220.0,0.0,630.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,163.0,0.0,65572.0,0.0,0.0,4.0,135.0,0.0,0.0,4.0,0.0,25.0,1.0,0.0,0.0,40.0,39.0,0.0,0.0,5.0,172.0,0.0,6685.0,71.0,0.0,102.0,5.0,0.0,0.0,704.0,1.0,1.0,8.0,0.0,22.0,0.0,0.0,D2B.4,SRS1932286,"DNA, dried treatment, rain-fed soils",DNA,Rain-fed,Dried,2.0
