index,D_0__Archaea;D_1__Asgardaeota,D_0__Archaea;D_1__Crenarchaeota,D_0__Archaea;D_1__Diapherotrites,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Nanoarchaeaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__BRC1,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Calditrichaeota,D_0__Bacteria;D_1__Chlamydiae,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cloacimonetes,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Dadabacteria,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Epsilonbacteraeota,D_0__Bacteria;D_1__FBP,D_0__Bacteria;D_1__FCPU426,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firestonebacteria,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Fusobacteria,D_0__Bacteria;D_1__GAL15,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Halanaerobiaeota,D_0__Bacteria;D_1__Hydrogenedentes,D_0__Bacteria;D_1__Kiritimatiellaeota,D_0__Bacteria;D_1__LCP-89,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Lentisphaerae,D_0__Bacteria;D_1__Margulisbacteria,D_0__Bacteria;D_1__Modulibacteria,D_0__Bacteria;D_1__Nitrospinae,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Omnitrophicaeota,D_0__Bacteria;D_1__PAUC34f,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Schekmanbacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Synergistetes,D_0__Bacteria;D_1__TA06,D_0__Bacteria;D_1__Tenericutes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WOR-1,D_0__Bacteria;D_1__WPS-2,D_0__Bacteria;D_1__WS1,D_0__Bacteria;D_1__WS2,D_0__Bacteria;D_1__WS4,D_0__Bacteria;D_1__Zixibacteria,D_0__Bacteria;__,Library_Name,SRA_Sample,env_biome,env_feature,env_material,host
SRR1524421,0.0,13.0,0.0,14.0,0.0,3.0,2646.0,2725.0,41.0,11.0,1065.0,0.0,0.0,3071.0,0.0,4787.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,15.0,1078.0,0.0,661.0,0.0,0.0,23.0,0.0,5.0,1.0,0.0,37.0,0.0,0.0,0.0,12.0,27.0,11.0,0.0,4.0,127.0,33103.0,11.0,0.0,1398.0,0.0,0.0,0.0,405.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,GHRun1,SRS665033,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524422,0.0,28.0,0.0,414.0,7.0,0.0,1079.0,1691.0,36.0,7.0,2245.0,0.0,1.0,1294.0,9.0,1882.0,0.0,2.0,0.0,7.0,0.0,114.0,3.0,9.0,134.0,0.0,2163.0,4.0,0.0,36.0,0.0,26.0,22.0,1.0,10.0,35.0,11.0,0.0,0.0,9.0,4.0,0.0,8.0,243.0,12827.0,1.0,0.0,3947.0,0.0,0.0,2.0,525.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,FieldRun1,SRS664969,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524423,0.0,50.0,0.0,9.0,4.0,7.0,9951.0,700.0,561.0,41.0,177.0,0.0,0.0,2909.0,0.0,59.0,0.0,2.0,2.0,13.0,1.0,0.0,0.0,1.0,8.0,0.0,235.0,0.0,25.0,944.0,0.0,42.0,0.0,0.0,623.0,0.0,0.0,0.0,63.0,112.0,16.0,2.0,5.0,1427.0,3126.0,1110.0,0.0,31.0,0.0,0.0,0.0,431.0,0.0,2.0,6.0,11.0,1.0,0.0,18.0,GHRun1,SRS665036,Greenhouse Soil,Transported Soil in the Greenhouse,Bulk_Soil,Oryza sativa
SRR1524424,0.0,122.0,0.0,980.0,14.0,7.0,3086.0,906.0,301.0,75.0,5577.0,0.0,0.0,2045.0,43.0,702.0,0.0,2.0,3.0,34.0,0.0,87.0,16.0,36.0,19.0,0.0,1843.0,10.0,0.0,369.0,0.0,185.0,169.0,0.0,65.0,26.0,4.0,0.0,0.0,13.0,21.0,1.0,58.0,694.0,11021.0,15.0,0.0,1433.0,5.0,0.0,0.0,1775.0,0.0,0.0,19.0,4.0,2.0,1.0,2.0,FieldRun1,SRS664970,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524425,0.0,47.0,0.0,8.0,3.0,45.0,7158.0,648.0,201.0,16.0,407.0,0.0,0.0,2084.0,0.0,43.0,1.0,0.0,4.0,10.0,5.0,3.0,0.0,2.0,23.0,0.0,129.0,0.0,32.0,905.0,0.0,27.0,2.0,0.0,223.0,0.0,1.0,0.0,29.0,138.0,10.0,7.0,10.0,965.0,4405.0,527.0,0.0,36.0,0.0,0.0,0.0,760.0,0.0,3.0,4.0,11.0,0.0,2.0,15.0,GHRun1,SRS665038,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524426,0.0,34.0,0.0,360.0,8.0,0.0,1524.0,2074.0,68.0,12.0,2433.0,0.0,0.0,1499.0,25.0,279.0,0.0,0.0,1.0,9.0,0.0,128.0,1.0,30.0,87.0,0.0,1714.0,5.0,0.0,119.0,0.0,61.0,21.0,0.0,29.0,8.0,10.0,0.0,0.0,2.0,5.0,0.0,22.0,542.0,10147.0,2.0,0.0,4147.0,0.0,0.0,0.0,673.0,0.0,5.0,7.0,0.0,0.0,1.0,0.0,FieldRun1,SRS664971,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524427,0.0,22.0,0.0,31.0,0.0,15.0,3500.0,1440.0,71.0,15.0,553.0,0.0,1.0,2638.0,1.0,681.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,1.0,156.0,0.0,394.0,0.0,2.0,315.0,0.0,16.0,0.0,0.0,135.0,0.0,0.0,0.0,28.0,31.0,13.0,0.0,6.0,700.0,7291.0,135.0,0.0,144.0,0.0,0.0,0.0,506.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,GHRun1,SRS665041,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524428,0.0,14.0,0.0,554.0,13.0,0.0,979.0,1222.0,35.0,17.0,1721.0,0.0,4.0,1407.0,5.0,2561.0,0.0,0.0,0.0,14.0,0.0,186.0,2.0,29.0,81.0,0.0,2024.0,2.0,0.0,34.0,0.0,16.0,12.0,0.0,20.0,3.0,4.0,0.0,0.0,1.0,2.0,0.0,13.0,303.0,14350.0,0.0,0.0,3669.0,0.0,0.0,0.0,343.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,FieldRun1,SRS664972,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524429,0.0,0.0,0.0,3.0,3.0,3.0,705.0,379.0,4.0,1.0,406.0,0.0,0.0,1083.0,0.0,7875.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,6.0,461.0,0.0,151.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,20.0,0.0,1.0,0.0,5.0,10.0,1.0,0.0,14.0,37.0,29629.0,2.0,0.0,435.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GHRun1,SRS665043,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524430,1.0,144.0,0.0,972.0,124.0,3.0,2721.0,819.0,259.0,83.0,5483.0,0.0,0.0,2160.0,84.0,320.0,0.0,0.0,4.0,30.0,0.0,182.0,20.0,28.0,24.0,4.0,1121.0,8.0,0.0,271.0,0.0,235.0,157.0,1.0,128.0,21.0,2.0,0.0,0.0,9.0,37.0,2.0,44.0,681.0,8046.0,11.0,0.0,1612.0,1.0,0.0,0.0,1620.0,0.0,1.0,17.0,0.0,0.0,1.0,0.0,FieldRun1,SRS664973,Rice Paddy,Rice Paddy,Rhizosphere,Rice
