index,D_0__Archaea,D_0__Bacteria,Library_Name,SRA_Sample,env_biome,env_feature,env_material,host
SRR1524386,43.0,41721.0,GHRun1,SRS664993,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524388,153.0,22538.0,FieldRun1,SRS664951,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524389,8.0,36433.0,GHRun1,SRS664994,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524390,64.0,19628.0,FieldRun1,SRS664952,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524391,242.0,33874.0,GHRun1,SRS664997,Greenhouse Soil,Transported Soil in the Greenhouse,Bulk_Soil,Oryza sativa
SRR1524392,149.0,18298.0,FieldRun1,SRS664953,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524393,187.0,25847.0,GHRun1,SRS664999,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524394,42.0,14966.0,FieldRun1,SRS664954,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524395,103.0,37909.0,GHRun1,SRS665003,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524396,844.0,33320.0,FieldRun1,SRS664955,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524397,550.0,31917.0,FieldRun1,SRS664956,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524398,17.0,34158.0,GHRun1,SRS665006,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524399,259.0,16042.0,FieldRun1,SRS664957,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524400,1087.0,34243.0,FieldRun1,SRS664958,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524401,172.0,24818.0,GHRun1,SRS665008,Greenhouse Soil,Transported Soil in the Greenhouse,Bulk_Soil,Oryza sativa
SRR1524402,317.0,26647.0,FieldRun1,SRS664959,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524403,295.0,35284.0,GHRun1,SRS665011,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524404,672.0,26529.0,FieldRun1,SRS664960,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524405,198.0,44616.0,GHRun1,SRS665013,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524406,515.0,27127.0,FieldRun1,SRS664961,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524407,12.0,27820.0,GHRun1,SRS665016,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524408,315.0,16101.0,FieldRun1,SRS664962,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524409,140.0,32554.0,GHRun1,SRS665019,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524410,405.0,17624.0,FieldRun1,SRS664963,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524411,29.0,16770.0,GHRun1,SRS665021,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524412,355.0,17741.0,FieldRun1,SRS664964,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524413,16.0,20942.0,GHRun1,SRS665024,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524414,399.0,28293.0,FieldRun1,SRS664965,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524415,191.0,22405.0,GHRun1,SRS665026,Greenhouse Soil,Transported Soil in the Greenhouse,Bulk_Soil,Oryza sativa
SRR1524416,83.0,21388.0,FieldRun1,SRS664966,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524417,135.0,23937.0,GHRun1,SRS665028,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524418,676.0,21128.0,FieldRun1,SRS664967,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524419,3.0,2311.0,GHRun1,SRS665031,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524420,440.0,25445.0,FieldRun1,SRS664968,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524421,30.0,51272.0,GHRun1,SRS665033,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524422,449.0,28390.0,FieldRun1,SRS664969,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524423,70.0,22655.0,GHRun1,SRS665036,Greenhouse Soil,Transported Soil in the Greenhouse,Bulk_Soil,Oryza sativa
SRR1524424,1123.0,30667.0,FieldRun1,SRS664970,Rice Paddy,Rice Paddy,Rhizosphere,Rice
