index,D_0__Archaea,D_0__Bacteria,Stage,TimePoint,Species,State
SRR6764804,19.0,1544.0,Pre_flowering,TP5,BT642,Drought
SRR6764749,0.0,1597.0,Post_flowering,TP17,BT642,Drought
SRR6764564,8.0,3567.0,Control,TP16,RT430,Watrered
SRR6764417,4.0,1196.0,Pre_flowering,TP6,RT430,Drought
SRR6764670,0.0,4650.0,Post_flowering,TP9,RT430,Watered
SRR6764928,2.0,2467.0,Pre_flowering,TP9,RT430,Recovery
SRR6764378,0.0,2120.0,Pre_flowering,TP12,RT430,Recovery
SRR6764905,0.0,1008.0,Post_flowering,TP14,RT430,Drought
SRR6764562,0.0,1353.0,Control,TP2,RT431,Watrered
SRR6764560,2.0,2099.0,Control,TP2,BT642,Watrered
SRR6765075,7.0,2086.0,Post_flowering,TP11,RT430,Drought
SRR6764697,0.0,1528.0,Pre_flowering,TP7,BT642,Drought
SRR6765016,4.0,2617.0,Control,TP3,BT642,Watrered
SRR6764922,3.0,1936.0,Control,TP13,BT642,Watrered
SRR6764627,0.0,3948.0,Post_flowering,TP16,BT642,Drought
SRR6764998,0.0,1490.0,Control,TP8,BT642,Watrered
SRR6764402,3.0,2943.0,Control,TP16,BT642,Watrered
SRR6764501,29.0,1161.0,Pre_flowering,TP5,RT430,Drought
SRR6765046,0.0,1857.0,Pre_flowering,TP10,BT642,Recovery
SRR6765073,0.0,1103.0,Pre_flowering,TP11,BT642,Recovery
SRR6764865,9.0,2173.0,Post_flowering,TP11,RT430,Drought
SRR6764995,2.0,1356.0,Post_flowering,TP8,RT430,Watered
SRR6764839,0.0,2414.0,Control,TP10,RT430,Watrered
SRR6765061,0.0,1681.0,Post_flowering,TP10,BT642,Drought
SRR6764999,0.0,1174.0,Control,TP8,BT642,Watrered
SRR6764585,5.0,1625.0,Pre_flowering,TP17,RT430,Recovery
SRR6764931,4.0,2443.0,Post_flowering,TP9,BT642,Watered
SRR6765017,0.0,3493.0,Control,TP3,BT642,Watrered
SRR6764354,5.0,1526.0,Post_flowering,TP17,RT430,Drought
SRR6764397,0.0,1114.0,Post_flowering,TP16,BT642,Drought
SRR6764866,1.0,2478.0,Post_flowering,TP11,BT642,Drought
SRR6764823,0.0,1478.0,Control,TP1,BT642,Watrered
SRR6764929,3.0,2501.0,Control,TP9,BT642,Watrered
SRR6765015,14.0,2973.0,Control,TP3,RT430,Watrered
SRR6765023,8.0,3167.0,Pre_flowering,TP3,BT643,Watered
SRR6764843,1.0,1568.0,Post_flowering,TP10,BT642,Drought
SRR6764919,1.0,1911.0,Pre_flowering,TP13,RT430,Recovery
SRR6764586,4.0,2125.0,Control,TP17,RT430,Watrered
SRR6764550,4.0,1388.0,Control,TP7,RT430,Watrered
SRR6764747,0.0,1792.0,Pre_flowering,TP17,BT642,Recovery
SRR6764871,0.0,1293.0,Post_flowering,TP11,BT642,Drought
SRR6764971,0.0,901.0,Control,TP14,BT642,Watrered
SRR6764422,0.0,1428.0,Pre_flowering,TP6,BT642,Drought
SRR6764924,12.0,3530.0,Pre_flowering,TP13,BT642,Recovery
SRR6765078,0.0,1396.0,Control,TP11,BT642,Watrered
SRR6764913,17.0,1115.0,Pre_flowering,TP5,RT430,Drought
SRR6764668,2.0,1411.0,Pre_flowering,TP9,BT642,Recovery
SRR6764360,3.0,1727.0,Pre_flowering,TP17,RT430,Recovery
SRR6764612,0.0,779.0,Control,TP10,BT642,Watrered
SRR6764990,2.0,1212.0,Post_flowering,TP8,RT430,Watered
SRR6764356,9.0,1721.0,Pre_flowering,TP17,BT642,Recovery
SRR6764613,0.0,747.0,Control,TP10,RT430,Watrered
SRR6764376,4.0,6226.0,Post_flowering,TP12,RT430,Drought
SRR6764782,0.0,1049.0,Pre_flowering,TP8,BT642,Drought
SRR6764769,3.0,2074.0,Pre_flowering,TP13,BT642,Recovery
SRR6764440,8.0,1980.0,Pre_flowering,TP3,RT430,Watered
SRR6764433,16.0,1111.0,Pre_flowering,TP15,RT430,Recovery
SRR6764420,2.0,1533.0,Pre_flowering,TP6,RT430,Drought
SRR6764972,0.0,1389.0,Control,TP14,RT430,Watrered
SRR6764401,0.0,1369.0,Control,TP16,BT642,Watrered
SRR6765060,0.0,1831.0,Post_flowering,TP10,RT430,Drought
SRR6764364,4.0,1389.0,Post_flowering,TP17,RT430,Drought
SRR6764676,2.0,1742.0,Pre_flowering,TP11,RT430,Recovery
SRR6764421,6.0,1614.0,Pre_flowering,TP6,RT430,Drought
SRR6764693,1.0,2045.0,Control,TP7,RT430,Watrered
SRR6764404,5.0,1923.0,Pre_flowering,TP16,RT430,Recovery
SRR6764914,0.0,1592.0,Pre_flowering,TP14,BT642,Recovery
SRR6764996,0.0,1578.0,Control,TP8,RT430,Watrered
SRR6765079,2.0,1567.0,Control,TP11,RT430,Watrered
SRR6764870,2.0,3270.0,Pre_flowering,TP11,RT430,Recovery
SRR6764340,18.0,1715.0,Control,TP5,RT430,Watrered
SRR6764468,0.0,1823.0,Post_flowering,TP12,RT430,Drought
SRR6764398,0.0,1285.0,Post_flowering,TP16,RT430,Drought
SRR6764626,5.0,2066.0,Pre_flowering,TP16,RT430,Recovery
SRR6764970,0.0,1524.0,Control,TP14,RT430,Watrered
SRR6764403,0.0,1282.0,Pre_flowering,TP16,BT642,Recovery
SRR6764513,0.0,965.0,Pre_flowering,TP8,RT430,Drought
SRR6765049,0.0,1511.0,Control,TP10,BT642,Watrered
SRR6764827,2.0,1617.0,Control,TP2,BT643,Watrered
SRR6764842,0.0,1758.0,Post_flowering,TP10,RT430,Drought
SRR6764750,0.0,1861.0,Post_flowering,TP17,RT430,Drought
SRR6764698,0.0,1797.0,Pre_flowering,TP7,RT430,Drought
SRR6764840,4.0,1978.0,Pre_flowering,TP10,BT642,Recovery
SRR6764834,7.0,1328.0,Control,TP15,BT642,Watrered
SRR6764425,5.0,2551.0,Post_flowering,TP15,RT430,Drought
SRR6765048,0.0,1759.0,Control,TP10,RT430,Watrered
SRR6765076,8.0,2256.0,Pre_flowering,TP11,BT642,Recovery
SRR6765021,2.0,1679.0,Control,TP3,RT431,Watrered
SRR6764822,0.0,2413.0,Control,TP1,BT642,Watrered
SRR6764372,5.0,1745.0,Control,TP12,RT430,Watrered
SRR6764424,8.0,2469.0,Post_flowering,TP15,BT642,Drought
SRR6764363,11.0,1621.0,Post_flowering,TP17,BT642,Drought
SRR6764460,0.0,1759.0,Post_flowering,TP14,BT642,Drought
SRR6764351,3.0,1473.0,Control,TP6,BT642,Watrered
SRR6764917,8.0,2523.0,Post_flowering,TP13,BT642,Drought
SRR6764690,15.0,1581.0,Control,TP7,BT642,Watrered
SRR6764375,0.0,2304.0,Pre_flowering,TP12,BT642,Recovery
SRR6764555,6.0,4356.0,Control,TP3,RT430,Watrered
SRR6764921,6.0,2073.0,Control,TP13,RT430,Watrered
SRR6764436,0.0,1381.0,Control,TP14,BT642,Watrered
SRR6764936,3.0,1914.0,Post_flowering,TP9,RT430,Watered
SRR6764563,13.0,1737.0,Control,TP2,BT642,Watrered
SRR6764587,4.0,2438.0,Control,TP13,RT430,Watrered
SRR6764423,5.0,2370.0,Control,TP15,RT430,Watrered
SRR6764474,7.0,2600.0,Pre_flowering,TP12,RT430,Recovery
SRR6765077,0.0,1451.0,Control,TP11,RT430,Watrered
SRR6764652,3.0,2860.0,Control,TP16,RT430,Watrered
SRR6764689,0.0,2567.0,Control,TP7,BT642,Watrered
SRR6764552,0.0,1397.0,Pre_flowering,TP7,BT642,Drought
SRR6765074,0.0,1692.0,Post_flowering,TP11,BT642,Drought
SRR6764768,4.0,1556.0,Pre_flowering,TP13,RT430,Recovery
SRR6765047,0.0,1745.0,Pre_flowering,TP10,RT430,Recovery
SRR6764370,9.0,1990.0,Control,TP12,RT430,Watrered
SRR6764845,0.0,1907.0,Post_flowering,TP10,RT430,Drought
SRR6764512,0.0,1049.0,Pre_flowering,TP8,BT642,Drought
SRR6764912,14.0,1237.0,Pre_flowering,TP5,BT642,Drought
SRR6764867,3.0,2528.0,Control,TP11,RT430,Watrered
SRR6764443,11.0,1267.0,Pre_flowering,TP15,BT642,Recovery
SRR6764418,0.0,1919.0,Control,TP6,RT430,Watrered
SRR6764848,0.0,1289.0,Pre_flowering,TP10,RT430,Recovery
SRR6764629,3.0,2482.0,Pre_flowering,TP16,BT642,Recovery
SRR6764366,0.0,1935.0,Control,TP13,BT642,Watrered
SRR6764991,11.0,1010.0,Control,TP5,BT642,Watrered
SRR6764847,1.0,1902.0,Post_flowering,TP16,BT642,Drought
SRR6764695,2.0,1894.0,Pre_flowering,TP7,RT430,Drought
SRR6764666,2.0,1429.0,Pre_flowering,TP9,RT430,Recovery
SRR6764802,17.0,1391.0,Pre_flowering,TP5,RT430,Drought
SRR6764824,0.0,1724.0,Control,TP1,RT431,Watrered
SRR6764352,7.0,1438.0,Control,TP6,RT430,Watrered
SRR6764994,2.0,1441.0,Post_flowering,TP8,BT642,Watered
SRR6764479,0.0,2908.0,Post_flowering,TP12,BT642,Drought
SRR6764430,15.0,3200.0,Control,TP15,BT642,Watrered
SRR6765020,0.0,1987.0,Pre_flowering,TP3,BT642,Watered
SRR6764438,0.0,2400.0,Post_flowering,TP14,BT642,Drought
SRR6764784,2.0,1323.0,Post_flowering,TP8,BT642,Watered
SRR6764588,9.0,1920.0,Control,TP13,BT642,Watrered
SRR6764675,0.0,1153.0,Control,TP9,BT642,Watrered
SRR6764923,5.0,2178.0,Pre_flowering,TP13,RT430,Recovery
SRR6764365,3.0,2139.0,Control,TP13,RT430,Watrered
SRR6764416,2.0,1489.0,Control,TP6,BT642,Watrered
SRR6764844,0.0,1602.0,Post_flowering,TP10,BT642,Drought
SRR6764849,5.0,1608.0,Pre_flowering,TP10,BT642,Recovery
SRR6764551,2.0,2182.0,Pre_flowering,TP7,RT430,Drought
SRR6764674,4.0,968.0,Control,TP9,RT430,Watrered
