index,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WPS-2,Stage,TimePoint,Species,State
SRR6764912,6.0,8.0,185.0,187.0,0.0,91.0,41.0,0.0,0.0,9.0,0.0,295.0,51.0,0.0,48.0,0.0,0.0,293.0,2.0,35.0,0.0,Pre_flowering,TP5,BT642,Drought
SRR6764867,0.0,3.0,598.0,228.0,1.0,150.0,105.0,8.0,0.0,17.0,0.0,383.0,115.0,4.0,124.0,0.0,2.0,746.0,14.0,33.0,0.0,Control,TP11,RT430,Watrered
SRR6764443,2.0,9.0,373.0,69.0,3.0,114.0,26.0,0.0,0.0,4.0,0.0,139.0,76.0,0.0,95.0,0.0,3.0,317.0,4.0,44.0,0.0,Pre_flowering,TP15,BT642,Recovery
SRR6764418,0.0,0.0,317.0,272.0,2.0,133.0,70.0,0.0,0.0,5.0,0.0,400.0,91.0,0.0,128.0,1.0,8.0,423.0,3.0,66.0,0.0,Control,TP6,RT430,Watrered
SRR6764848,0.0,0.0,206.0,130.0,0.0,130.0,51.0,5.0,0.0,9.0,0.0,308.0,54.0,0.0,78.0,0.0,8.0,286.0,2.0,22.0,0.0,Pre_flowering,TP10,RT430,Recovery
SRR6764629,3.0,0.0,583.0,165.0,6.0,290.0,80.0,0.0,0.0,7.0,0.0,194.0,176.0,2.0,113.0,5.0,10.0,765.0,11.0,74.0,1.0,Pre_flowering,TP16,BT642,Recovery
SRR6764366,0.0,0.0,332.0,193.0,2.0,155.0,81.0,14.0,0.0,17.0,0.0,284.0,100.0,0.0,106.0,2.0,7.0,590.0,8.0,44.0,0.0,Control,TP13,BT642,Watrered
SRR6764991,1.0,10.0,182.0,105.0,0.0,104.0,27.0,0.0,0.0,4.0,0.0,176.0,52.0,0.0,85.0,0.0,0.0,253.0,0.0,22.0,0.0,Control,TP5,BT642,Watrered
SRR6764847,0.0,1.0,360.0,248.0,2.0,145.0,88.0,3.0,0.0,5.0,0.0,226.0,88.0,0.0,114.0,6.0,13.0,500.0,2.0,102.0,0.0,Post_flowering,TP16,BT642,Drought
SRR6764695,2.0,0.0,414.0,253.0,7.0,155.0,82.0,7.0,0.0,9.0,0.0,301.0,55.0,0.0,55.0,0.0,12.0,441.0,3.0,100.0,0.0,Pre_flowering,TP7,RT430,Drought
SRR6764666,2.0,0.0,216.0,192.0,0.0,77.0,43.0,3.0,0.0,5.0,0.0,286.0,71.0,0.0,81.0,0.0,2.0,408.0,2.0,43.0,0.0,Pre_flowering,TP9,RT430,Recovery
