index,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WPS-2,Stage,TimePoint,Species,State
SRR6764461,0.0,0.0,234.0,130.0,5.0,75.0,70.0,7.0,0.0,6.0,0.0,200.0,49.0,0.0,62.0,2.0,3.0,384.0,2.0,78.0,0.0,Post_flowering,TP14,RT430,Drought
SRR6764454,0.0,0.0,237.0,124.0,0.0,99.0,23.0,0.0,0.0,10.0,0.0,119.0,70.0,0.0,42.0,0.0,2.0,282.0,0.0,33.0,0.0,Pre_flowering,TP9,BT642,Recovery
SRR6764691,0.0,0.0,357.0,196.0,3.0,170.0,53.0,0.0,0.0,7.0,0.0,389.0,127.0,0.0,136.0,0.0,11.0,485.0,2.0,69.0,0.0,Control,TP7,RT430,Watrered
SRR6764435,0.0,2.0,203.0,218.0,0.0,136.0,106.0,2.0,0.0,8.0,0.0,265.0,36.0,0.0,86.0,8.0,13.0,457.0,9.0,69.0,0.0,Post_flowering,TP14,RT430,Drought
SRR6764878,12.0,4.0,803.0,117.0,16.0,306.0,77.0,6.0,0.0,7.0,0.0,170.0,167.0,2.0,167.0,0.0,25.0,789.0,21.0,98.0,0.0,Pre_flowering,TP15,BT642,Recovery
SRR6764771,3.0,4.0,393.0,230.0,0.0,150.0,120.0,1.0,0.0,21.0,0.0,237.0,80.0,0.0,145.0,3.0,10.0,613.0,4.0,58.0,2.0,Post_flowering,TP13,BT642,Drought
SRR6764377,0.0,0.0,400.0,150.0,3.0,132.0,72.0,2.0,0.0,9.0,0.0,259.0,127.0,0.0,94.0,0.0,6.0,541.0,6.0,73.0,0.0,Control,TP12,BT642,Watrered
SRR6764671,0.0,0.0,230.0,83.0,0.0,61.0,30.0,0.0,0.0,3.0,0.0,324.0,48.0,0.0,69.0,0.0,3.0,320.0,2.0,21.0,0.0,Control,TP9,BT642,Watrered
SRR6764669,0.0,0.0,331.0,182.0,0.0,74.0,49.0,0.0,0.0,3.0,0.0,186.0,80.0,0.0,82.0,0.0,5.0,363.0,1.0,38.0,0.0,Pre_flowering,TP9,RT430,Recovery
SRR6764355,2.0,7.0,468.0,117.0,3.0,184.0,43.0,2.0,0.0,6.0,0.0,171.0,114.0,0.0,113.0,0.0,3.0,558.0,1.0,75.0,0.0,Pre_flowering,TP17,BT642,Recovery
SRR6764521,0.0,0.0,236.0,82.0,0.0,148.0,40.0,0.0,0.0,3.0,0.0,127.0,71.0,0.0,94.0,0.0,21.0,251.0,0.0,39.0,0.0,Control,TP8,BT642,Watrered
SRR6764997,0.0,2.0,208.0,183.0,2.0,141.0,71.0,2.0,0.0,2.0,0.0,261.0,55.0,0.0,78.0,4.0,6.0,373.0,2.0,29.0,0.0,Post_flowering,TP8,BT642,Watered
SRR6764368,2.0,2.0,416.0,213.0,5.0,251.0,70.0,3.0,0.0,14.0,0.0,340.0,89.0,2.0,135.0,0.0,10.0,674.0,21.0,62.0,0.0,Pre_flowering,TP11,RT430,Recovery
SRR6764696,3.0,0.0,227.0,331.0,2.0,77.0,55.0,6.0,0.0,8.0,0.0,582.0,76.0,0.0,101.0,0.0,7.0,404.0,2.0,54.0,0.0,Pre_flowering,TP7,BT642,Drought
SRR6765022,2.0,0.0,157.0,173.0,0.0,84.0,31.0,2.0,0.0,4.0,0.0,371.0,66.0,0.0,73.0,0.0,2.0,313.0,0.0,39.0,0.0,Control,TP3,BT643,Watrered
SRR6765018,4.0,0.0,466.0,522.0,5.0,248.0,210.0,17.0,0.0,28.0,0.0,1032.0,170.0,0.0,101.0,2.0,17.0,849.0,1.0,83.0,0.0,Pre_flowering,TP3,RT431,Watered
SRR6764520,0.0,0.0,177.0,114.0,2.0,157.0,36.0,0.0,0.0,6.0,0.0,141.0,51.0,0.0,84.0,0.0,12.0,236.0,0.0,16.0,0.0,Control,TP8,RT430,Watrered
SRR6764772,7.0,8.0,554.0,267.0,15.0,223.0,111.0,7.0,0.0,20.0,0.0,239.0,105.0,3.0,114.0,15.0,13.0,651.0,9.0,124.0,0.0,Post_flowering,TP13,BT642,Drought
SRR6764989,0.0,0.0,81.0,577.0,0.0,47.0,36.0,3.0,0.0,4.0,0.0,441.0,18.0,0.0,42.0,0.0,4.0,228.0,0.0,9.0,0.0,Post_flowering,TP8,RT430,Watered
SRR6764476,2.0,11.0,501.0,220.0,5.0,152.0,111.0,4.0,0.0,10.0,2.0,247.0,138.0,0.0,132.0,3.0,19.0,736.0,4.0,146.0,0.0,Control,TP12,BT642,Watrered
SRR6764442,6.0,11.0,384.0,205.0,0.0,119.0,64.0,0.0,0.0,6.0,0.0,289.0,59.0,2.0,80.0,5.0,5.0,388.0,3.0,69.0,0.0,Post_flowering,TP15,BT642,Drought
SRR6764429,4.0,3.0,633.0,127.0,18.0,229.0,78.0,2.0,0.0,7.0,0.0,162.0,174.0,5.0,115.0,0.0,9.0,657.0,17.0,91.0,0.0,Pre_flowering,TP15,RT430,Recovery
SRR6765019,0.0,2.0,604.0,748.0,2.0,345.0,171.0,4.0,0.0,26.0,0.0,1142.0,170.0,0.0,135.0,0.0,16.0,951.0,3.0,83.0,0.0,Pre_flowering,TP3,BT642,Watered
SRR6764369,0.0,2.0,465.0,224.0,3.0,114.0,70.0,4.0,0.0,4.0,0.0,228.0,84.0,0.0,70.0,2.0,7.0,647.0,2.0,50.0,0.0,Control,TP12,BT642,Watrered
SRR6764826,4.0,1.0,499.0,393.0,5.0,173.0,147.0,4.0,3.0,14.0,0.0,703.0,204.0,3.0,111.0,0.0,6.0,953.0,8.0,62.0,0.0,Control,TP2,RT430,Watrered
SRR6764472,3.0,3.0,213.0,340.0,2.0,86.0,87.0,0.0,0.0,8.0,0.0,360.0,65.0,0.0,147.0,9.0,15.0,661.0,2.0,87.0,0.0,Post_flowering,TP12,BT642,Drought
SRR6764672,0.0,0.0,190.0,164.0,2.0,74.0,35.0,5.0,0.0,7.0,0.0,341.0,56.0,0.0,60.0,5.0,2.0,330.0,2.0,23.0,0.0,Control,TP9,RT430,Watrered
SRR6764974,0.0,0.0,217.0,164.0,2.0,99.0,66.0,0.0,0.0,8.0,0.0,263.0,70.0,0.0,74.0,0.0,2.0,413.0,9.0,43.0,0.0,Pre_flowering,TP14,BT642,Recovery
SRR6764357,0.0,9.0,364.0,143.0,3.0,109.0,51.0,4.0,0.0,0.0,0.0,158.0,55.0,0.0,64.0,0.0,4.0,346.0,0.0,73.0,0.0,Post_flowering,TP17,BT642,Drought
SRR6764428,2.0,0.0,69.0,137.0,0.0,14.0,17.0,0.0,0.0,6.0,0.0,157.0,20.0,0.0,27.0,0.0,0.0,138.0,0.0,14.0,0.0,Pre_flowering,TP6,BT642,Drought
SRR6764535,0.0,0.0,271.0,89.0,2.0,117.0,49.0,5.0,0.0,7.0,0.0,193.0,50.0,0.0,63.0,9.0,9.0,274.0,5.0,20.0,0.0,Post_flowering,TP9,RT430,Watered
SRR6764904,2.0,0.0,233.0,162.0,0.0,85.0,100.0,2.0,0.0,8.0,0.0,383.0,48.0,0.0,57.0,2.0,5.0,296.0,2.0,27.0,0.0,Post_flowering,TP14,BT642,Drought
SRR6764835,6.0,14.0,397.0,200.0,3.0,119.0,71.0,1.0,0.0,10.0,0.0,273.0,59.0,2.0,119.0,11.0,4.0,438.0,5.0,72.0,0.0,Post_flowering,TP15,RT430,Drought
SRR6764992,2.0,0.0,242.0,253.0,3.0,99.0,81.0,8.0,0.0,13.0,0.0,378.0,45.0,0.0,56.0,0.0,8.0,284.0,0.0,28.0,0.0,Pre_flowering,TP8,BT642,Drought
SRR6764478,0.0,0.0,524.0,261.0,1.0,288.0,87.0,0.0,0.0,4.0,0.0,270.0,168.0,0.0,165.0,9.0,11.0,881.0,9.0,115.0,0.0,Control,TP12,RT430,Watrered
SRR6764930,0.0,1.0,384.0,199.0,0.0,110.0,73.0,46.0,0.0,12.0,0.0,274.0,90.0,2.0,98.0,3.0,6.0,834.0,14.0,35.0,0.0,Control,TP9,RT430,Watrered
SRR6764437,2.0,0.0,303.0,154.0,0.0,128.0,101.0,7.0,2.0,10.0,0.0,226.0,93.0,0.0,96.0,0.0,7.0,1149.0,13.0,53.0,0.0,Control,TP14,RT430,Watrered
SRR6764803,0.0,0.0,412.0,97.0,0.0,209.0,12.0,0.0,0.0,7.0,0.0,142.0,91.0,0.0,352.0,0.0,7.0,336.0,0.0,81.0,0.0,Control,TP5,RT430,Watrered
SRR6764534,0.0,2.0,474.0,150.0,0.0,238.0,96.0,0.0,0.0,11.0,0.0,328.0,97.0,3.0,121.0,8.0,5.0,445.0,3.0,47.0,0.0,Post_flowering,TP9,BT642,Watered
SRR6764358,0.0,0.0,290.0,35.0,2.0,85.0,26.0,0.0,0.0,0.0,0.0,60.0,44.0,2.0,56.0,0.0,9.0,275.0,4.0,30.0,0.0,Control,TP17,BT642,Watrered
SRR6764801,0.0,0.0,361.0,155.0,0.0,220.0,9.0,0.0,0.0,7.0,0.0,144.0,77.0,0.0,272.0,10.0,9.0,429.0,0.0,87.0,0.0,Control,TP5,BT642,Watrered
SRR6764407,0.0,0.0,277.0,67.0,4.0,137.0,32.0,3.0,0.0,3.0,0.0,121.0,70.0,0.0,76.0,0.0,9.0,484.0,3.0,69.0,0.0,Control,TP16,RT430,Watrered
SRR6764434,4.0,4.0,252.0,59.0,0.0,117.0,28.0,4.0,0.0,2.0,0.0,76.0,50.0,0.0,63.0,0.0,4.0,331.0,0.0,26.0,0.0,Control,TP15,RT430,Watrered
SRR6764838,0.0,0.0,447.0,348.0,4.0,293.0,123.0,12.0,0.0,21.0,0.0,312.0,133.0,0.0,194.0,23.0,10.0,720.0,13.0,47.0,0.0,Control,TP10,BT642,Watrered
SRR6764783,0.0,0.0,209.0,158.0,2.0,118.0,64.0,0.0,0.0,7.0,0.0,237.0,36.0,0.0,73.0,2.0,8.0,326.0,0.0,26.0,0.0,Pre_flowering,TP8,RT430,Drought
SRR6764748,0.0,4.0,422.0,200.0,5.0,146.0,52.0,34.0,0.0,8.0,0.0,387.0,97.0,0.0,99.0,4.0,12.0,509.0,7.0,77.0,0.0,Pre_flowering,TP17,RT430,Recovery
SRR6764480,0.0,0.0,226.0,179.0,0.0,97.0,57.0,0.0,0.0,7.0,0.0,274.0,49.0,0.0,68.0,0.0,2.0,367.0,5.0,38.0,0.0,Post_flowering,TP12,RT430,Drought
SRR6764831,6.0,11.0,397.0,109.0,0.0,143.0,35.0,0.0,0.0,4.0,0.0,111.0,97.0,0.0,89.0,0.0,7.0,352.0,2.0,78.0,0.0,Pre_flowering,TP15,RT430,Recovery
SRR6764804,5.0,14.0,179.0,246.0,4.0,99.0,42.0,2.0,0.0,4.0,0.0,236.0,29.0,0.0,53.0,0.0,0.0,623.0,2.0,25.0,0.0,Pre_flowering,TP5,BT642,Drought
SRR6764749,0.0,0.0,268.0,219.0,0.0,98.0,76.0,2.0,0.0,14.0,0.0,269.0,73.0,0.0,81.0,9.0,6.0,436.0,0.0,46.0,0.0,Post_flowering,TP17,BT642,Drought
SRR6764564,6.0,2.0,863.0,206.0,5.0,436.0,116.0,2.0,0.0,6.0,0.0,285.0,238.0,6.0,155.0,4.0,13.0,1110.0,23.0,99.0,0.0,Control,TP16,RT430,Watrered
SRR6764417,0.0,4.0,171.0,194.0,0.0,51.0,53.0,0.0,0.0,7.0,0.0,290.0,37.0,0.0,53.0,0.0,5.0,290.0,0.0,45.0,0.0,Pre_flowering,TP6,RT430,Drought
SRR6764670,0.0,0.0,669.0,573.0,10.0,457.0,110.0,6.0,0.0,16.0,0.0,777.0,237.0,0.0,240.0,38.0,10.0,1371.0,9.0,127.0,0.0,Post_flowering,TP9,RT430,Watered
SRR6764928,1.0,1.0,621.0,205.0,0.0,205.0,103.0,7.0,3.0,19.0,0.0,362.0,118.0,2.0,113.0,0.0,6.0,652.0,12.0,39.0,0.0,Pre_flowering,TP9,RT430,Recovery
SRR6764378,0.0,0.0,334.0,261.0,4.0,162.0,63.0,10.0,0.0,6.0,0.0,405.0,102.0,0.0,70.0,2.0,8.0,638.0,1.0,54.0,0.0,Pre_flowering,TP12,RT430,Recovery
SRR6764905,0.0,0.0,175.0,132.0,0.0,38.0,76.0,2.0,0.0,0.0,0.0,209.0,25.0,0.0,71.0,3.0,6.0,247.0,0.0,24.0,0.0,Post_flowering,TP14,RT430,Drought
SRR6764562,0.0,0.0,194.0,190.0,0.0,98.0,45.0,4.0,0.0,6.0,0.0,272.0,64.0,0.0,62.0,0.0,0.0,372.0,6.0,40.0,0.0,Control,TP2,RT431,Watrered
SRR6764560,2.0,0.0,273.0,352.0,2.0,112.0,53.0,22.0,0.0,18.0,0.0,490.0,137.0,0.0,73.0,0.0,14.0,508.0,3.0,42.0,0.0,Control,TP2,BT642,Watrered
SRR6765075,3.0,4.0,423.0,225.0,5.0,123.0,97.0,26.0,0.0,8.0,0.0,338.0,76.0,0.0,104.0,7.0,9.0,594.0,12.0,39.0,0.0,Post_flowering,TP11,RT430,Drought
SRR6764697,0.0,0.0,244.0,250.0,2.0,53.0,53.0,7.0,0.0,8.0,0.0,417.0,65.0,0.0,46.0,0.0,3.0,339.0,4.0,37.0,0.0,Pre_flowering,TP7,BT642,Drought
SRR6765016,4.0,0.0,446.0,288.0,0.0,173.0,125.0,0.0,0.0,14.0,0.0,701.0,144.0,0.0,75.0,4.0,6.0,605.0,6.0,30.0,0.0,Control,TP3,BT642,Watrered
SRR6764922,1.0,2.0,425.0,148.0,10.0,152.0,81.0,28.0,0.0,10.0,0.0,233.0,115.0,0.0,108.0,0.0,12.0,548.0,9.0,57.0,0.0,Control,TP13,BT642,Watrered
SRR6764627,0.0,0.0,743.0,546.0,4.0,354.0,264.0,3.0,3.0,15.0,0.0,416.0,137.0,0.0,191.0,25.0,52.0,970.0,3.0,222.0,0.0,Post_flowering,TP16,BT642,Drought
SRR6764998,0.0,0.0,365.0,109.0,0.0,183.0,60.0,2.0,0.0,10.0,0.0,127.0,104.0,0.0,129.0,5.0,13.0,323.0,0.0,60.0,0.0,Control,TP8,BT642,Watrered
SRR6764402,3.0,0.0,717.0,188.0,0.0,319.0,142.0,0.0,0.0,11.0,0.0,319.0,194.0,0.0,173.0,7.0,31.0,757.0,17.0,68.0,0.0,Control,TP16,BT642,Watrered
SRR6764501,15.0,14.0,271.0,181.0,3.0,62.0,32.0,0.0,0.0,7.0,0.0,154.0,48.0,0.0,72.0,0.0,3.0,275.0,0.0,53.0,0.0,Pre_flowering,TP5,RT430,Drought
SRR6765046,0.0,0.0,374.0,178.0,0.0,119.0,111.0,0.0,0.0,15.0,0.0,382.0,73.0,0.0,142.0,0.0,11.0,426.0,0.0,26.0,0.0,Pre_flowering,TP10,BT642,Recovery
SRR6765073,0.0,0.0,302.0,68.0,0.0,54.0,40.0,0.0,0.0,3.0,0.0,165.0,47.0,0.0,76.0,2.0,2.0,317.0,8.0,19.0,0.0,Pre_flowering,TP11,BT642,Recovery
SRR6764865,0.0,9.0,404.0,252.0,0.0,133.0,135.0,29.0,0.0,6.0,0.0,377.0,61.0,2.0,135.0,8.0,12.0,565.0,6.0,48.0,0.0,Post_flowering,TP11,RT430,Drought
SRR6764995,0.0,2.0,325.0,111.0,3.0,159.0,56.0,0.0,0.0,10.0,0.0,153.0,59.0,0.0,107.0,13.0,10.0,299.0,3.0,48.0,0.0,Post_flowering,TP8,RT430,Watered
SRR6764839,0.0,0.0,582.0,156.0,4.0,308.0,110.0,0.0,0.0,11.0,0.0,205.0,160.0,3.0,140.0,26.0,15.0,594.0,4.0,96.0,0.0,Control,TP10,RT430,Watrered
SRR6765061,0.0,0.0,257.0,154.0,0.0,109.0,101.0,15.0,0.0,4.0,0.0,440.0,32.0,0.0,135.0,2.0,7.0,392.0,2.0,31.0,0.0,Post_flowering,TP10,BT642,Drought
SRR6764999,0.0,0.0,320.0,80.0,0.0,86.0,5.0,0.0,0.0,3.0,0.0,183.0,44.0,0.0,138.0,0.0,19.0,229.0,0.0,67.0,0.0,Control,TP8,BT642,Watrered
SRR6764585,3.0,2.0,505.0,58.0,7.0,179.0,42.0,0.0,0.0,3.0,0.0,57.0,96.0,0.0,100.0,2.0,6.0,496.0,9.0,65.0,0.0,Pre_flowering,TP17,RT430,Recovery
SRR6764931,0.0,4.0,465.0,274.0,0.0,162.0,110.0,5.0,0.0,12.0,0.0,389.0,124.0,0.0,127.0,4.0,11.0,678.0,14.0,65.0,3.0,Post_flowering,TP9,BT642,Watered
SRR6765017,0.0,0.0,909.0,350.0,1.0,205.0,159.0,4.0,0.0,14.0,0.0,512.0,112.0,2.0,70.0,2.0,2.0,1096.0,2.0,53.0,0.0,Control,TP3,BT642,Watrered
SRR6764354,1.0,4.0,402.0,181.0,2.0,104.0,62.0,0.0,0.0,0.0,0.0,135.0,84.0,0.0,68.0,9.0,2.0,386.0,0.0,91.0,0.0,Post_flowering,TP17,RT430,Drought
SRR6764397,0.0,0.0,193.0,146.0,2.0,63.0,58.0,0.0,0.0,5.0,0.0,198.0,35.0,0.0,67.0,0.0,4.0,280.0,2.0,61.0,0.0,Post_flowering,TP16,BT642,Drought
SRR6764866,0.0,1.0,569.0,272.0,3.0,162.0,118.0,45.0,0.0,14.0,0.0,358.0,89.0,2.0,102.0,6.0,8.0,661.0,13.0,54.0,2.0,Post_flowering,TP11,BT642,Drought
SRR6764823,0.0,0.0,213.0,156.0,0.0,64.0,32.0,5.0,0.0,6.0,0.0,384.0,66.0,0.0,76.0,0.0,0.0,444.0,2.0,30.0,0.0,Control,TP1,BT642,Watrered
SRR6764929,1.0,2.0,516.0,248.0,5.0,172.0,111.0,24.0,0.0,13.0,0.0,411.0,126.0,4.0,123.0,2.0,6.0,670.0,10.0,57.0,3.0,Control,TP9,BT642,Watrered
SRR6765015,10.0,4.0,436.0,338.0,2.0,175.0,142.0,9.0,0.0,23.0,0.0,563.0,189.0,0.0,118.0,0.0,14.0,894.0,8.0,62.0,0.0,Control,TP3,RT430,Watrered
SRR6765023,5.0,3.0,415.0,857.0,0.0,147.0,76.0,6.0,0.0,10.0,0.0,652.0,117.0,0.0,86.0,0.0,12.0,736.0,6.0,47.0,0.0,Pre_flowering,TP3,BT643,Watered
SRR6764843,0.0,1.0,386.0,182.0,2.0,126.0,63.0,15.0,0.0,5.0,0.0,249.0,48.0,0.0,74.0,5.0,8.0,377.0,2.0,26.0,0.0,Post_flowering,TP10,BT642,Drought
SRR6764919,1.0,0.0,341.0,192.0,2.0,124.0,72.0,0.0,0.0,10.0,0.0,243.0,104.0,0.0,122.0,6.0,13.0,618.0,2.0,62.0,0.0,Pre_flowering,TP13,RT430,Recovery
SRR6764586,2.0,2.0,559.0,85.0,6.0,236.0,66.0,5.0,0.0,3.0,0.0,58.0,141.0,2.0,117.0,0.0,15.0,731.0,15.0,86.0,0.0,Control,TP17,RT430,Watrered
SRR6764550,1.0,3.0,359.0,96.0,4.0,133.0,33.0,2.0,0.0,11.0,0.0,155.0,61.0,0.0,152.0,0.0,5.0,320.0,1.0,56.0,0.0,Control,TP7,RT430,Watrered
SRR6764747,0.0,0.0,331.0,154.0,6.0,181.0,51.0,3.0,0.0,5.0,0.0,190.0,96.0,0.0,111.0,2.0,9.0,572.0,7.0,74.0,0.0,Pre_flowering,TP17,BT642,Recovery
SRR6764871,0.0,0.0,310.0,160.0,0.0,116.0,107.0,6.0,0.0,7.0,0.0,114.0,30.0,0.0,55.0,9.0,13.0,296.0,0.0,70.0,0.0,Post_flowering,TP11,BT642,Drought
SRR6764971,0.0,0.0,145.0,69.0,0.0,86.0,36.0,3.0,0.0,7.0,0.0,135.0,38.0,0.0,63.0,0.0,2.0,281.0,0.0,36.0,0.0,Control,TP14,BT642,Watrered
SRR6764422,0.0,0.0,290.0,223.0,6.0,91.0,51.0,3.0,0.0,10.0,0.0,225.0,36.0,0.0,46.0,0.0,9.0,365.0,4.0,69.0,0.0,Pre_flowering,TP6,BT642,Drought
SRR6764924,8.0,4.0,660.0,408.0,7.0,245.0,136.0,10.0,0.0,17.0,0.0,595.0,198.0,0.0,186.0,0.0,23.0,908.0,14.0,123.0,0.0,Pre_flowering,TP13,BT642,Recovery
SRR6765078,0.0,0.0,266.0,157.0,0.0,111.0,43.0,2.0,0.0,3.0,0.0,199.0,85.0,2.0,64.0,0.0,2.0,426.0,4.0,32.0,0.0,Control,TP11,BT642,Watrered
SRR6764913,9.0,8.0,183.0,125.0,3.0,133.0,19.0,2.0,0.0,12.0,0.0,269.0,39.0,0.0,54.0,0.0,11.0,219.0,2.0,44.0,0.0,Pre_flowering,TP5,RT430,Drought
SRR6764668,0.0,2.0,297.0,136.0,0.0,96.0,52.0,6.0,0.0,10.0,0.0,174.0,72.0,0.0,80.0,0.0,8.0,442.0,2.0,36.0,0.0,Pre_flowering,TP9,BT642,Recovery
SRR6764360,0.0,3.0,420.0,132.0,2.0,169.0,40.0,2.0,0.0,9.0,0.0,162.0,102.0,0.0,99.0,0.0,10.0,520.0,1.0,59.0,0.0,Pre_flowering,TP17,RT430,Recovery
SRR6764612,0.0,0.0,192.0,37.0,0.0,86.0,7.0,0.0,0.0,4.0,0.0,125.0,34.0,0.0,67.0,0.0,4.0,195.0,0.0,28.0,0.0,Control,TP10,BT642,Watrered
SRR6764990,0.0,2.0,343.0,69.0,3.0,145.0,55.0,0.0,0.0,9.0,0.0,100.0,64.0,0.0,110.0,1.0,26.0,234.0,0.0,53.0,0.0,Post_flowering,TP8,RT430,Watered
SRR6764356,5.0,4.0,556.0,79.0,9.0,148.0,59.0,0.0,0.0,0.0,0.0,74.0,113.0,0.0,121.0,2.0,10.0,472.0,15.0,63.0,0.0,Pre_flowering,TP17,BT642,Recovery
SRR6764613,0.0,0.0,227.0,57.0,0.0,76.0,8.0,6.0,0.0,0.0,0.0,69.0,27.0,0.0,82.0,0.0,0.0,162.0,0.0,33.0,0.0,Control,TP10,RT430,Watrered
SRR6764376,2.0,2.0,1079.0,831.0,3.0,336.0,258.0,23.0,0.0,25.0,0.0,1150.0,219.0,0.0,220.0,21.0,18.0,1792.0,19.0,232.0,0.0,Post_flowering,TP12,RT430,Drought
SRR6764782,0.0,0.0,136.0,164.0,0.0,80.0,66.0,1.0,0.0,6.0,0.0,184.0,34.0,0.0,69.0,0.0,16.0,260.0,0.0,33.0,0.0,Pre_flowering,TP8,BT642,Drought
SRR6764769,0.0,3.0,314.0,255.0,0.0,159.0,86.0,2.0,0.0,14.0,0.0,331.0,122.0,0.0,108.0,0.0,11.0,616.0,5.0,51.0,0.0,Pre_flowering,TP13,BT642,Recovery
SRR6764440,0.0,8.0,324.0,317.0,0.0,97.0,62.0,5.0,0.0,12.0,0.0,446.0,75.0,0.0,79.0,0.0,10.0,524.0,0.0,29.0,0.0,Pre_flowering,TP3,RT430,Watered
SRR6764433,6.0,10.0,243.0,72.0,0.0,86.0,35.0,0.0,0.0,7.0,0.0,80.0,76.0,3.0,75.0,0.0,7.0,375.0,6.0,46.0,0.0,Pre_flowering,TP15,RT430,Recovery
SRR6764420,0.0,2.0,258.0,255.0,2.0,66.0,71.0,2.0,0.0,10.0,0.0,404.0,45.0,0.0,89.0,0.0,4.0,292.0,2.0,33.0,0.0,Pre_flowering,TP6,RT430,Drought
SRR6764972,0.0,0.0,198.0,165.0,2.0,88.0,59.0,0.0,0.0,7.0,0.0,202.0,90.0,0.0,103.0,0.0,2.0,420.0,9.0,44.0,0.0,Control,TP14,RT430,Watrered
SRR6764401,0.0,0.0,400.0,68.0,4.0,139.0,33.0,0.0,0.0,5.0,0.0,109.0,111.0,0.0,84.0,0.0,6.0,357.0,1.0,52.0,0.0,Control,TP16,BT642,Watrered
SRR6765060,0.0,0.0,275.0,210.0,0.0,185.0,70.0,25.0,0.0,4.0,0.0,352.0,51.0,0.0,132.0,20.0,5.0,473.0,4.0,25.0,0.0,Post_flowering,TP10,RT430,Drought
SRR6764364,0.0,4.0,273.0,122.0,0.0,71.0,53.0,6.0,0.0,2.0,0.0,102.0,58.0,0.0,96.0,6.0,9.0,525.0,0.0,66.0,0.0,Post_flowering,TP17,RT430,Drought
SRR6764676,2.0,0.0,431.0,168.0,0.0,110.0,56.0,2.0,0.0,7.0,0.0,155.0,112.0,0.0,122.0,0.0,6.0,521.0,20.0,32.0,0.0,Pre_flowering,TP11,RT430,Recovery
SRR6764421,2.0,4.0,239.0,240.0,2.0,74.0,67.0,9.0,0.0,5.0,0.0,464.0,58.0,0.0,67.0,0.0,7.0,335.0,0.0,47.0,0.0,Pre_flowering,TP6,RT430,Drought
SRR6764693,1.0,0.0,298.0,208.0,0.0,122.0,45.0,12.0,0.0,5.0,0.0,506.0,114.0,0.0,172.0,14.0,0.0,502.0,4.0,43.0,0.0,Control,TP7,RT430,Watrered
SRR6764404,0.0,5.0,518.0,134.0,9.0,173.0,62.0,21.0,0.0,2.0,0.0,227.0,137.0,0.0,97.0,2.0,13.0,472.0,2.0,54.0,0.0,Pre_flowering,TP16,RT430,Recovery
SRR6764914,0.0,0.0,319.0,159.0,0.0,80.0,84.0,0.0,0.0,14.0,0.0,305.0,75.0,0.0,92.0,0.0,10.0,415.0,5.0,34.0,0.0,Pre_flowering,TP14,BT642,Recovery
SRR6764996,0.0,0.0,272.0,185.0,2.0,140.0,73.0,2.0,0.0,7.0,0.0,289.0,75.0,2.0,98.0,5.0,14.0,379.0,2.0,33.0,0.0,Control,TP8,RT430,Watrered
SRR6765079,2.0,0.0,324.0,131.0,3.0,114.0,66.0,2.0,0.0,8.0,0.0,155.0,71.0,0.0,75.0,2.0,2.0,575.0,5.0,34.0,0.0,Control,TP11,RT430,Watrered
SRR6764870,2.0,0.0,747.0,226.0,2.0,225.0,107.0,3.0,0.0,16.0,0.0,347.0,156.0,0.0,328.0,2.0,20.0,995.0,14.0,82.0,0.0,Pre_flowering,TP11,RT430,Recovery
SRR6764340,9.0,9.0,257.0,143.0,0.0,109.0,41.0,2.0,0.0,7.0,0.0,478.0,79.0,0.0,131.0,0.0,0.0,432.0,1.0,35.0,0.0,Control,TP5,RT430,Watrered
SRR6764468,0.0,0.0,292.0,279.0,2.0,103.0,75.0,2.0,0.0,2.0,0.0,313.0,53.0,0.0,85.0,2.0,7.0,537.0,0.0,71.0,0.0,Post_flowering,TP12,RT430,Drought
SRR6764398,0.0,0.0,263.0,159.0,2.0,72.0,67.0,2.0,0.0,0.0,0.0,213.0,39.0,0.0,69.0,0.0,4.0,323.0,3.0,69.0,0.0,Post_flowering,TP16,RT430,Drought
SRR6764626,0.0,5.0,376.0,181.0,4.0,198.0,82.0,0.0,2.0,12.0,0.0,301.0,123.0,5.0,96.0,10.0,9.0,592.0,7.0,68.0,0.0,Pre_flowering,TP16,RT430,Recovery
SRR6764970,0.0,0.0,274.0,147.0,2.0,123.0,39.0,0.0,0.0,4.0,0.0,194.0,85.0,0.0,95.0,1.0,3.0,480.0,2.0,75.0,0.0,Control,TP14,RT430,Watrered
